"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=989772,989744,989735,989746,989749,989743,989757,989741,989753,989732,989752,989737,989751,989776,989736,989742,989734,989761,989759,878175,878191,878202,878176,878195,878187,878182,878197,878184,878203,878193,878199,878189,878174,878194,878200,878190,878178,878181,878188,878185,878204,878192,878201,878179,878177,878186,878196,878180,878198,7806353,5995754,5995753,5466913,5466922,1552987,7806321,7806324,7806317,7806318,7806347,7806354,7806319,7806355,7806320,6204979,6205040,6204971,5995752,5995751,5995748,5995810,5995749,5995750,5995809,5466954,5466883,5466900,5466891,5466935,5466944,5466885,1553022,989780,878205,6812530,7918908,7914997,7847319,7911704,7907493,7899857,7903624,7897550,7889916,7887971,7889559,7888968,7888593,7886135,7884610",2017/05/04 20:35:59
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"On-line construction of symmetric compact directed acyclic word graphs","S. Inenaga; H. Hoshino; A. Shinohara; M. Takeda; S. Arikawa","Kyushu University","Proceedings Eighth Symposium on String Processing and Information Retrieval","20050627","2001","","","96","110","The Compact Directed Acyclic Word Graph (CDAWG) is a space-eflcient data structure that supports indices of a string. The Symmetric Directed Acyclic Word Graph (SCDAWG) for a string w is a dual structure that supports indices of both w and the reverse of w simultaneously. Blumer et al. gave the first algorithm to construct an SCDAWG from a given string, that works in an of-line manner. In this papec we show an on-line algorithm that constructs an SCDAWGfiom a given string directly.","","POD:0-7695-1192-9","10.1109/SPIRE.2001.989743","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989743","","Data structures;Indexing;Informatics;Tree graphs","","","","1","","16","","","13-15 Nov. 2001","","IEEE","IEEE Conference Publications"
"Fast categorisation of large document collections","V. Shanks; H. E. Williams","School of Computer Science and Information Technology, RMIT University","Proceedings Eighth Symposium on String Processing and Information Retrieval","20050627","2001","","","194","204","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00989757.png"" border=""0"">","","POD:0-7695-1192-9","10.1109/SPIRE.2001.989757","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989757","","Australia;Computer science;Data mining;Databases;Documentation;Electronic mail;Humans;Information technology;Resource management;Technology management","","","","1","","29","","","13-15 Nov. 2001","","IEEE","IEEE Conference Publications"
"A model and software architecture for search results visualization on the WWW","O. Alonso; R. Baeza-Yates","Oracle Corp., Redwood Shores, CA, USA","Proceedings Seventh International Symposium on String Processing and Information Retrieval. SPIRE 2000","20020806","2000","","","8","16","We analyze the dependency problem of the user interface with the information retrieval software. Our approach allows the separation of the user interface from the retrieval component. This is useful when the user wants to select an interface or visualization metaphor that could not always be available for different information retrieval systems. We present a model for visualizing large collections of documents in World Wide Web retrieval, independently of the retrieval system. We describe a software architecture that could be used to implement a solution in an intranet or Internet environment. Our proposal allows to ease the use of visualization tools which partially solve the problem of data overload on the Internet","","POD:0-7695-0746-8","10.1109/SPIRE.2000.878175","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=878175","","Data visualization;Graphical user interfaces;Information retrieval;Search engines;Software architecture;Software libraries;Space technology;User interfaces;Web sites;World Wide Web","Internet;data visualisation;information resources;information retrieval;intranets;software architecture;user interfaces","Internet;World Wide Web;data overload;information retrieval software;information retrieval systems;intranet;search result visualization;software architecture;user interface","","2","","26","","","2000","27 Sep 2000-29 Sep 2000","IEEE","IEEE Conference Publications"
"Speeding up parallel decoding of LZ compressed text on the PRAM EREW","S. De Agostino","Dipt. di Sci. dell'Inf., Rome Univ., Italy","Proceedings Seventh International Symposium on String Processing and Information Retrieval. SPIRE 2000","20020806","2000","","","2","7","While sliding window (LZ1) compression can be parallelized efficiently, the LZ2 compression method seems hardly parallelizable since some related heuristics are known to be P-complete. In spite of such negative result, there are parallel decoders which run in O(log<sup>2</sup> n) time with O(n/log n) processors on the PRAM EREW where n is the length of the output string, as for LZ1 decompression. We show a faster parallel decoding algorithm which runs on the PRAM EREW in O(log n) time with O(n) processors for text compressed by a standard implementation of the LZ2 algorithm (next character heuristic). We observe that LZ1 parallel decoders also can have such speed up. Moreover, we address a different implementation of LZ2 compression called identity heuristic. In this case, decoding on the PRAM EREW takes O(log n log log n) time with O(n/log n) processors with the realistic assumption that the length of the dictionary elements is logarithmic","","POD:0-7695-0746-8","10.1109/SPIRE.2000.878174","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=878174","","Algorithm design and analysis;Concurrent computing;Decoding;Dictionaries;Microwave integrated circuits;Multimedia databases;Phase change random access memory;Polynomials;Process design;Remuneration","computational complexity;concurrency theory;data compression;decoding;dictionaries;parallel algorithms","LZ compressed text;LZ1 compression;LZ2 compression method;P-complete;PRAM EREW;dictionary;identity heuristic;next character heuristic;output string;parallel decoding;sliding window compression;text compression","","2","","22","","","2000","27 Sep 2000-29 Sep 2000","IEEE","IEEE Conference Publications"
"Exact distribution of deletion sizes for unavoidable strings","C. E. Heitsch","University of British Columbia","Proceedings Eighth Symposium on String Processing and Information Retrieval","20050627","2001","","","76","83","We constructively prove the exact distribution of deletion sizes for unavoidable strings, under the reductive decidability method of Zimin and Bean et al. Bounds such as these on the unique initial reductions of unavoidable strings were instrumental in proving the computational intractability of the reduction algorithm. We also provide the necessa y supporting results, including some useful approximations on the deletion sizes of individual strings. This work improves upon previous results that, although suficient to establish the desired exponential lower bound, were far from optimal.","","POD:0-7695-1192-9","10.1109/SPIRE.2001.989741","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989741","","Computer science;Instruments;Pattern matching;Terminology","","","","0","","7","","","13-15 Nov. 2001","","IEEE","IEEE Conference Publications"
"Combinatorial methods for approximate pattern matching under rotations and translations in 3D arrays","K. Fredriksson; E. Ukkonen","Dept. of Comput. Sci., Helsinki Univ., Finland","Proceedings Seventh International Symposium on String Processing and Information Retrieval. SPIRE 2000","20020806","2000","","","96","104","We consider the problem of defining and evaluating the distance between a three-dimensional pattern P[1..m, 1..m, 1..m] of voxels and a three-dimensional volume V[1..n, 1..n, 1..n] of voxels when rotations of P are also allowed. In particular we are interested in finding the orientation and location of P with respect of V that gives the minimum distance. We consider several distance measures. Our basic method works for all distance measures such that the voxels affect the distance between P and V only locally, that is, the distance between two voxels can be completed in unit time. The number of different orientations that P can have is analyzed. We give incremental algorithms to compute the distance, and several filtering algorithms to compute the upper and lower bounds for the distance. We conclude with experimental results on real data (three dimensional reconstruction of a biological virus)","","POD:0-7695-0746-8","10.1109/SPIRE.2000.878184","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=878184","","Algorithm design and analysis;Bioinformatics;Biology computing;Computer science;Genomics;Information analysis;Information retrieval;Pattern matching;Text processing;Time measurement","algorithm theory;combinatorial mathematics;distance measurement;filtering theory;pattern matching","3D arrays;approximate pattern matching;biological virus;combinatorial methods;distance measures;filtering algorithms;incremental algorithms;minimum distance;real data;rotations;three dimensional reconstruction;three-dimensional pattern;three-dimensional volume;translations;voxels","","4","2","11","","","2000","27 Sep 2000-29 Sep 2000","IEEE","IEEE Conference Publications"
"Speed-up of Aho-Corasick pattern matching machines by rearranging states","T. Nishimura; S. Fukamachi; T. Shinohara","Kyushu Institute of Technology","Proceedings Eighth Symposium on String Processing and Information Retrieval","20050627","2001","","","175","185","This article describes speed-up of string pattern matching by rearranging states in Aho-Corasick pattern matching machine, which is a kind of afinite automaton. We realized speed-up of string pattern matching using data compression. Although we obtain higher compression ratio using a finite state model, it doesn't lead speed-up of string pattern matching. Because the pattern matching machine becomes very large, when compression codes are complex. Random Access Memory (RAM) are scattered with states used frequently Such states are close to the initial state of pattern matching machine. We rearrange states so as to collecting states used frequently for CPU cache eficiency. We renumber states in breadth-first order. In experiments, the elapsed time is reduced to about 55% in case of a compressed English text.","","POD:0-7695-1192-9","10.1109/SPIRE.2001.989753","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989753","","Artificial intelligence;Automata;Data communication;Decoding;Pattern matching;Random access memory;Read-write memory","","","","8","1","8","","","13-15 Nov. 2001","","IEEE","IEEE Conference Publications"
"Tags and Information Recollection","M. Chevalier; J. Mothe; P. Terrier","","2016 12th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS)","20170424","2016","","","373","380","Folksonomy, tag, bookmark and social bookmarking are all concepts that refer to recollection in information retrieval (IR). Recollection can be defined as the effort needed to recall an even, an idea or a resource. In IR, when locating an interesting resource, a user can tag it in order to ""memorize"" it and retrieve it later. The user chooses the tags according to his/her needs or centers of interest. While previous work has addressed the problem of tag exploitation, to our knowledge, an important dimension is missing. None has focused on the tagging activity itself when considering the users point of view. An important open question is the following: will a user be able to remember tags he/she associated with a document in the past in order to retrieve a document again? Our paper tackles this problem. Considering a user study that implied 32 participants, we evaluate some elements (age, time…) that impacts the recognition and the recall of tags used in the past. This result is important specifically as it can be used in order to optimize personalized systems (e.g. user profiling, tag exploitation…).","","Electronic:978-1-5090-5698-9; POD:978-1-5090-5699-6","10.1109/SITIS.2016.66","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7907493","Human Characteristics;Information Retrieval;Recollection;Study;Tag","Atmospheric measurements;Browsers;Extraterrestrial measurements;HTML;Particle measurements;Tagging","","","","","","","","","Nov. 28 2016-Dec. 1 2016","","IEEE","IEEE Conference Publications"
"Making the invisible visible through social network analysis","S. R. Urs; M. Sharma","International School of Information Management University of Mysore, Mysore, India","2010 International Conference on Information Retrieval & Knowledge Management (CAMP)","20100520","2010","","","11","17","This paper attempts to establish the case for the use of SNA to uncover the invisible patterns and structures of academic community. An overview of the possible application areas and methods and metrics of SNA are also provided. A case of the structure and characteristics of the digital library community is provided to illustrate. The digital library community exhibits the small world phenomenon and the key authors and players in terms of editors of major journals form a cohesive group and they form the invisible college that influences the direction and spread of the field.","","Electronic:978-1-4244-5652-9; POD:978-1-4244-5650-5","10.1109/INFRKM.2010.5466883","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5466883","Social Network Analysis;academic communities;author collaboration;author networks;digital libraries;small world phenomenon","","digital libraries;educational computing;social sciences","academic community;cohesive group;digital library community;invisible college;small world phenomenon;social network analysis","","0","","36","","","17-18 March 2010","","IEEE","IEEE Conference Publications"
"Of maps bigger than the empire","A. Apostolico","Purdue University and Universita di Padova","Proceedings Eighth Symposium on String Processing and Information Retrieval","20050627","2001","","","2","9","In a passage by J.L. Borges on the ""exactitude of Science,"" a fictitious author describes an Empire in which the art of Cartography ""logro tal perfeccion que el mapa de una sola Provincia ocupaba toda la Ciudad, y el mapa del Imperio toda una Provincia."" With time, these huge maps wouldn't be enough, and the Colleges of the Cartographers erected a map of the Empire that equalled in width the Empire itself... This paper concerns itself with increasing cases of pattern discovery and data mining in which synopses, indices and relationships thereof seem to grow faster and bigger than the phenomena they were meant to encapsulate. The paper then reviews specific examples of algorithmic and combinatorial constructs that proved capable of alleviating such paradoxes in the author's recent work experience.","","POD:0-7695-1192-9","10.1109/SPIRE.2001.989732","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989732","","Data mining;Independent component analysis;Pervasive computing","","","","0","","28","","","13-15 Nov. 2001","","IEEE","IEEE Conference Publications"
