"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5136518,5130275,5117852,5136730,5091030,5089310,5077062,5089014,5071964,5070765,5070607,5070445,5070817,5070752,5067519,5067518,5031492,4959038,4959214,4960495,4938984,4937420,4908538,4907815,4906779,4906748,4906793,4906815,4895556,4839084,4812406,4811639,4811259,4809071,4802376,4703212,4028500,4796051,4784719,4780747,4772056,4766776,4760433,4756176,4756998,4757430,4753337,4743411,4743890,4741017,4743906,4741161,4740726,4740103,4740490,4740527,4740553,4739989,4740720,4740503,4740526,4740545,4730776,4730338,4732120,4733945,4682612,4725948,4723089,4720338,4724847,4725789,4720654,4717891,4717868,4712599,4708983,4696497,4696207,4694512,4681241,4680783,4681055,4682349,4680871,4670473,4669705,4669961,4669712,4667070,4666383,4666381,4666550,4666492,4666069,4666490,4665947,4664796,4664695,4664675",2017/05/04 20:30:17
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Hybrid Statistical Language Model Applied to the Domain Specific Information Retrieval","W. Wang; K. Lin; C. Zhou","Software Sch., Xiamen Univ., Xiamen","2008 Fifth International Conference on Fuzzy Systems and Knowledge Discovery","20081105","2008","2","","3","7","The traditional language model takes the multi-topics document corpus as the research target. In order to avoid the interference brought by the multi-topics problem, this paper focuses on the domain specific Information Retrieval (IR). In domain specific IR, different terms are considered to take different contribution degrees to the final query result. So the terms in a document can be divided into different categories according to their contribution degrees. And the statistical information of a term, mainly its probabilities, is computed by different methods and smooth strategies according to its category. This paper proposed an improved hybrid statistical language model used in the Domain Specific IR. This new model has about 9%~10% performance increment in the experimental result. In the end, some challenges and research orientation of the statistical language model research are presented.","","POD:978-0-7695-3305-6","10.1109/FSKD.2008.240","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4666069","","Computer science;Fuzzy systems;Handwriting recognition;Information retrieval;Interference;Natural languages;Probability distribution;Space technology;Speech recognition;Statistics","information retrieval;probability;query languages;statistical analysis","domain specific information retrieval;multitopics document corpus;probability;query language;smooth strategy;statistical information;statistical language model","","0","","16","","","18-20 Oct. 2008","","IEEE","IEEE Conference Publications"
"A note on the error of optimized LFC Private Information Retrieval scheme","J. Tamura; K. Kobara; R. Nojima; H. Imai; H. Lipmaa","National Institute of Information and Communications Technology, Japan","2008 International Symposium on Information Theory and Its Applications","20090428","2008","","","1","4","A number of low communication-cost private information retrieval (PIR) schemes have been proposed in recent years. In JWIS2006, Kwon et al. proposed a new scheme (optimized LFCPIR, or OLFCPIR), which aimed at reducing the communication cost of Lipmaa' s O(log<sup>2</sup> n) PIR(LFCPIR) to O(log n). However, in this paper, we demonstrate OLFCPIR' s fatal mistake of overflow contained, and show that it does not function as a PIR scheme.","","CD-ROM:978-1-4244-2069-8; POD:978-1-4244-2068-1","10.1109/ISITA.2008.4895556","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4895556","","Complexity theory;Computer errors;Cost function;Cryptography;Data security;Databases;History;Information retrieval;Information theory;Protocols","information retrieval","PIR scheme;communication cost;optimized LFC private information retrieval scheme","","0","","10","","","7-10 Dec. 2008","","IEEE","IEEE Conference Publications"
"An Extended Vector Space Model for XML Information Retrieval","Y. Guo; D. Chen; J. Le","Coll. of Inf. Sci. & Technol., Donghua Univ., Shanghai","2009 Second International Workshop on Knowledge Discovery and Data Mining","20090202","2009","","","797","800","With the emergence of more and more XML documents, effectively and efficiently retrieving information from XML documents has become an active research area. Since XML documents lie between structured data and unstructured data which describe both content and structure, it is a huge challenge for effectively and efficiently retrieving information from XML documents. This paper develops a novel retrieval model named as extend vector space model which effectively combines XPath and vector space model for XML information retrieval. A prototype system for XML information retrieval based on this retrieval model has been implemented, and several corresponding algorithms have been introduced. The experiments show that this model has effectively improved recall and precision.","","POD:978-0-7695-3543-2","10.1109/WKDD.2009.218","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4772056","Extended Vectoe Space Model;XML;XPath;informatiion retrieval","Books;Content based retrieval;Data mining;Database languages;Educational institutions;Information retrieval;Prototypes;Q measurement;Space technology;XML","XML;information retrieval","XML documents;XML information retrieval;XPath;extended vector space model;retrieval model;structured data;unstructured data","","0","","11","","","23-25 Jan. 2009","","IEEE","IEEE Conference Publications"
"SPIRAL: A Scalable Private Information Retrieval Approach to Location Privacy","A. Khoshgozaran; H. Shirani-Mehr; C. Shahabi","Univ. of Southern California Los Angeles, Los Angeles, CA","2008 Ninth International Conference on Mobile Data Management Workshops, MDMW","20090424","2008","","","55","62","Protecting users' location information in location-based services, also termed location privacy, has recently garnered significant attention due to its importance in satisfying users' privacy concerns when using location-aware services. Several approaches proposed in the literature blur the user's location in a region by increasing its spatial extent or anonymizing the user among several other users. Such approaches in nature require users to communicate through a trusted anonymizer for all of their queries which can impose unrealistic overall communication/computation overhead between the server and the anonymizer for users with more stringent privacy requirements. We revisit the location privacy problem with the objective of providing significantly more stringent privacy guarantees and propose SPIRAL, a scalable private information retrieval approach to location privacy, which is to the best of our knowledge, the first approach to utilize practical private information retrieval (PIR) as a more fundamental approach to enable blind evaluation of range queries. We perform several experiments on real-world data to evaluate the effectiveness and the feasibility of our approach.","","CD-ROM:978-0-7695-3721-4; POD:978-1-4244-4484-7","10.1109/MDMW.2008.23","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4839084","","Data privacy;Information retrieval;Monitoring;Performance evaluation;Protection;Query processing;Robustness;Spatial databases;Spatial resolution;Spirals","information retrieval;security of data","location privacy problem;location-aware services;location-based services;scalable private information retrieval approach;user location information protection","","8","","18","","","27-30 April 2008","","IEEE","IEEE Conference Publications"
"Subjectively Related Association Term Discovery towards Personalized Web Information Retrieval","S. Y. Yoo","","2008 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology","20090106","2008","1","","802","805","In this paper, we propose a new semi-supervised clustering methodology to extract topically coherent contents from given Web pages, according to a user's topic interests. It is an effort to resolve low information retrieval performance, caused by one fact that even a single Web page often contains multi-topic related contents. Our evaluation results showed some advantages of our semi-supervised clustering methodology: it reduces the needs of term classification knowledge between the given Web pages and a user's topic interests. It also gets better clustering performances than those which can be achieved with the well-known supervised feature-term selection method chi<sup>2</sup> statistics.","","POD:978-0-7695-3496-1","10.1109/WIIAT.2008.408","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4740553","Association Terms;Personalization;Web Information Retrieval","Content based retrieval;Data mining;Feature extraction;Frequency;History;Information retrieval;Intelligent agent;Statistics;Web pages","Internet;data mining;information retrieval;pattern clustering","multitopic related contents;personalized Web information retrieval;related association term discovery;semisupervised clustering;term classification knowledge","","1","","22","","","9-12 Dec. 2008","","IEEE","IEEE Conference Publications"
"An Integrated Framework for Research on Cross-Cultural Information Retrieval","I. Taksa; J. M. Flomenbaum","Baruch Coll., City Univ. of New York, New York, NY","2009 Sixth International Conference on Information Technology: New Generations","20090610","2009","","","1367","1372","Web Information Retrieval (IR) has become a ubiquitous online activity for people around the globe. There is a critical need to recognize and study diverse attitudes and behaviors exhibited by searchers from different cultures. In this paper we examine and discuss the theoretical and methodological foundations used to establish a framework for research on cross-cultural information retrieval. First, we briefly discuss the evolution of research on search behavior, establish a connection between userspsila behavior and Hofstedepsilas cultural dimensions, and then use these dimensions to expand the relatively new Unified Theory of Acceptance and Usage of Technology (UTAUT) to create a framework for research.","","POD:978-1-4244-3770-2","10.1109/ITNG.2009.99","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5070817","Hofstede's cultural dimensions;UTAUT Model;moderators;search behavior;search engine","Cultural differences;Databases;Educational institutions;Information retrieval;Information technology;Internet;Joining processes;Search engines;Statistical analysis;Uniform resource locators","Internet;information retrieval;ubiquitous computing","Web information retrieval;cross-cultural information retrieval;ubiquitous online activity","","0","","27","","","27-29 April 2009","","IEEE","IEEE Conference Publications"
"Suffix Tree Based Approach for Chinese Information Retrieval","J. H. Huang; D. Powers","Sch. of Comput. Sci., Flinders Univ. of South Australia, SA","2008 Eighth International Conference on Intelligent Systems Design and Applications","20081208","2008","3","","393","397","With the widespread of the Internet, great research interests are being shown in Chinese language information retrieval in recent years. The absence of word boundaries in Chinese language makes Chinese information retrieval (IR) different to European IR. In order to apply traditional IR approaches to Chinese language, sentences have to be segmented into words first. Word segmentation is playing a key role in Chinese IR. As word segmentation is not straightforward and the results are sometime ambiguous, n-grams are used as an alternative. Several experimental studies have been conducted to compare words and n-grams, word segmentation and its effect on information retrieval. These studies show that using either words or n-grams leads to comparable performances. Higher word segmentation accuracy does not necessarily result in better retrieval performance. In this paper we propose a suffix tree based approach for Chinese information retrieval without word segmentation.","2164-7143;21647143","POD:978-0-7695-3382-7","10.1109/ISDA.2008.365","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4696497","Suffix Tree","Application software;Computer science;Design engineering;Frequency;Indexing;Information retrieval;Intelligent systems;Internet;Natural languages;Power engineering and energy","Internet;information retrieval;natural language processing","Chinese language information retrieval;Internet;n-grams;suffix tree","","2","","12","","","26-28 Nov. 2008","","IEEE","IEEE Conference Publications"
"Automatic topic detection strategy for information retrieval in spoken document","Shan Jin; H. Misra; T. Sikora; J. Jose","1Department of Telecommunication Systems, Technical University of Berlin, Germany","2009 10th Workshop on Image Analysis for Multimedia Interactive Services","20090529","2009","","","300","303","This paper suggests an alternative solution for the task of spoken document retrieval (SDR). The proposed system runs retrieval on multi-level transcriptions (word and phone) produced by word and phone recognizers respectively, and their outputs are combined. We propose to use latent Dirichlet allocation (LDA) model for capturing the semantic information on word transcription. The LDA model is employed for estimating topic distribution in queries and word transcribed spoken documents, and the matching is performed at the topic level. Acoustic matching between query words and phonetically transcribed spoken documents is performed using phone-based matching algorithm. The results of acoustic and topic level matching methods are compared and shown to be complementary.","2158-5873;21585873","Electronic:978-1-4244-3610-1; POD:978-1-4244-3609-5","10.1109/WIAMIS.2009.5031492","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031492","","Acoustic signal detection;Automatic speech recognition;Content based retrieval;Databases;Distributed computing;Information retrieval;Linear discriminant analysis;Streaming media;Telecommunication computing;Vocabulary","information retrieval;natural language processing;text analysis","acoustic matching;automatic topic detection strategy;information retrieval;latent Dirichlet allocation;multilevel transcriptions retrieval;phone-based matching algorithm;query words;semantic information;spoken document retrieval;word transcription","","0","","11","","","6-8 May 2009","","IEEE","IEEE Conference Publications"
"Music Information Retrieval Using Social Tags and Audio","M. Levy; M. Sandler","Last.fm, London","IEEE Transactions on Multimedia","20090316","2009","11","3","383","395","In this paper we describe a novel approach to applying text-based information retrieval techniques to music collections. We represent tracks with a joint vocabulary consisting of both conventional words, drawn from social tags, and audio <i>muswords</i>, representing characteristics of automatically-identified regions of interest within the signal. We build vector space and latent aspect models indexing words and muswords for a collection of tracks, and show experimentally that retrieval with these models is extremely well-behaved. We find in particular that retrieval performance remains good for tracks by artists unseen by our models in training, and even if tags for their tracks are extremely sparse.","1520-9210;15209210","","10.1109/TMM.2009.2012913","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4802376","Audio;information retrieval;music;social tags","Audio recording;Collaborative work;Filtering;Fingerprint recognition;Indexing;Mood;Music information retrieval;Navigation;Recommender systems;Vocabulary","audio signal processing;indexing;information retrieval;music;text analysis","audio indexing;latent aspect model;social tag;text-based music information retrieval;vector space;vocabulary","","50","6","45","","","April 2009","","IEEE","IEEE Journals & Magazines"
"Integrating Structure in the Probabilistic Model for Information Retrieval","M. Gery; C. Largeron; F. Thollard","Univ. de Lyon, Lyon","2008 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology","20090106","2008","1","","763","769","In databases or in the World Wide Web, many documents are in a structured format (e.g. XML). We propose in this article to extend the classical IR probabilistic model in order to take into account the structure through the weighting of tags. Our approach includes a learning step in which the weight of each tag is computed. This weight estimates the probability that the tag distinguishes the terms which are the most relevant. Our model has been evaluated on a large collection during INEX IR evaluation campaigns.","","POD:978-0-7695-3496-1","10.1109/WIIAT.2008.346","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4740545","XML;probabilistic model;structure;tags","Deductive databases;HTML;Indexing;Information retrieval;Intelligent agent;Intelligent structures;Internet;Markup languages;Web sites;XML","information retrieval;learning (artificial intelligence);probability","World Wide Web;classical information retrieval probabilistic model;document retrieval;integration structure;learning step;weight estimation","","1","","24","","","9-12 Dec. 2008","","IEEE","IEEE Conference Publications"
