"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1373510,1373761,1423561,1423299,1423567,1422367,1423482,1423749,1421376,1402286,1412481,1410525,1411824,1409657,1413254,1407190,1410847,1410803,1410849,999219,1410888,1410828,1410780,1401083,1400836,1398451,1394713,1394375,1394558,1394175,1385970,1393184,1387719,1382024,1385467,1385742,1385347,1385439,1381205,1379858,1374321,1380013,1376662,1380050,1374268,1374222,1372429,1375376,1374190,1375373,1365116,1372411,1363923,1357300,1358038,1358034,1358035,1356864,1347761,1349188,1278692,1278693,1345033,1347604,1343076,1342972,1339266,1336151,1296517,1336219,1336144,1333443,1331344,1286465,1283905,1286463,1281338,1286637,1287639,1284009,1277824,880010,1318484,1317325,1314411,1310441,1307877,1307932,1307801,1306944,1306941,1299434,1296908,1290170,1285839,1286783,1281192,1275934,1275935,1273269",2017/05/04 20:32:38
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A new method for fuzzy information retrieval based on fuzzy hierarchical clustering and fuzzy inference techniques","Yih-Jen Horng; Shyi-Ming Chen; Yu-Chuan Chang; Chia-Hoang Lee","Dept. of Comput. & Inf. Sci., Nat. Chiao Tung Univ., Hsinchu, Taiwan","IEEE Transactions on Fuzzy Systems","20050404","2005","13","2","216","228","In this paper, we extend the work of Kraft et al. to present a new method for fuzzy information retrieval based on fuzzy hierarchical clustering and fuzzy inference techniques. First, we present a fuzzy agglomerative hierarchical clustering algorithm for clustering documents and to get the document cluster centers of document clusters. Then, we present a method to construct fuzzy logic rules based on the document clusters and their document cluster centers. Finally, we apply the constructed fuzzy logic rules to modify the user's query for query expansion and to guide the information retrieval system to retrieve documents relevant to the user's request. The fuzzy logic rules can represent three kinds of fuzzy relationships (i.e., fuzzy positive association relationship, fuzzy specialization relationship and fuzzy generalization relationship) between index terms. The proposed fuzzy information retrieval method is more flexible and more intelligent than the existing methods due to the fact that it can expand users' queries for fuzzy information retrieval in a more effective manner.","1063-6706;10636706","","10.1109/TFUZZ.2004.840134","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1411824","Fuzzy agglomerative hierarchical clustering;fuzzy information retrieval systems;fuzzy logic rules;fuzzy relationships;query expansion","Boolean functions;Clustering algorithms;Councils;Fuzzy logic;Fuzzy set theory;Fuzzy systems;Helium;Inference algorithms;Information retrieval;Information science","fuzzy logic;fuzzy reasoning;fuzzy systems;pattern clustering;query formulation;query processing;vocabulary","fuzzy agglomerative;fuzzy hierarchical clustering;fuzzy inference technique;fuzzy information retrieval;fuzzy logic rules;index term;query expansion","","25","","30","","","April 2005","","IEEE","IEEE Journals & Magazines"
"Geographic information retrieval (GIR) ranking methods for digital libraries","R. R. Larson; P. Frontiera","Sch. of Inf. Manage. & Syst., California Univ., Berkeley, CA, USA","Proceedings of the 2004 Joint ACM/IEEE Conference on Digital Libraries, 2004.","20040927","2004","","","415","","This demo presents results from an evaluation of algorithms for ranking results by probability of relevance for geographic information retrieval (GIR) applications. We demonstrate an algorithm for GIR ranking based on logistic regression from samples of the test collection. We also show the effects of different representations of the geographic regions being searched, including minimum bounding rectangles, convex hulls, and complex polygons.","","POD:1-58113-832-6","10.1109/JCDL.2004.240497","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1336219","","Information retrieval;Software libraries","digital libraries;geographic information systems;probability;relevance feedback;visual databases","digital libraries;geographic information retrieval;geographic regions;logistic regression;relevance probability;spatial databases","","3","","","","","11-11 June 2004","","IEEE","IEEE Conference Publications"
"Macro-clustering: improved information retrieval using fuzzy logic","H. Liyanage; G. E. M. D. C. Bandara","Dept. of Comput. Sci. & Stat., Peradeniya Univ., Sri Lanka","Proceedings of the 2004 IEEE International Symposium on Intelligent Control, 2004.","20050131","2004","","","413","418","The World Wide Web contains a huge amount of unclassified data and its continuous growth has made it a complex domain for information retrieval. Current Web information retrieval (IR) systems (i.e., search engines) very often overload the user with irrelevant search results. This has forced the user to perform a certain level of analysis on the results returned. Web IR systems are currently one of the most researched areas in the computer industry. So far there have been many attempts to incorporate soft computing techniques such as fuzzy logic, neural networks, genetic algorithms, etc. This work focuses on how fuzzy logic can be introduced to IR systems. The current applications of fuzzy techniques are analyzed and a concept called ""macro-clustering"" is introduced as a solution for optimizing results of generalized search queries.","2158-9860;21589860","POD:0-7803-8635-3","10.1109/ISIC.2004.1387719","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1387719","","Application software;Computer industry;Computer networks;Fuzzy logic;Genetic algorithms;Information retrieval;Neural networks;Performance analysis;Search engines;Web sites","Internet;data mining;fuzzy logic;information retrieval","World Wide Web;data mining;fuzzy logic;fuzzy macroclustering;information retrieval;soft computing techniques","","0","","19","","","2-4 Sept. 2004","","IEEE","IEEE Conference Publications"
"PatternQuest: learning patterns of interest using relevance feedback in multimedia information retrieval","Yimin Wu; Aidong Zhang","Dept. of Comput. Sci. & Eng., State Univ. of New York, USA","2004 IEEE International Conference on Multimedia and Expo (ICME) (IEEE Cat. No.04TH8763)","20050222","2004","1","","261","264 Vol.1","We present a PatternQuest framework to learn the patterns of interest (i.e., the distribution patterns of positive objects) using classification methods and relevance feedback. To improve the performance of multimedia retrieval, our PatternQuest first employs an efficient feature selection method to extract a low-dimensional feature subspace. With the feature selection, PatternQuest can effectively alleviate the curse of dimensionality for learning-based relevance feedback. To discover patterns of interest in the feature subspace effectively, we propose a multiresolution pattern discovery (MPD) approach, which trains an online pattern classification method known as adaptive random forests to filter negative objects, from the neighborhood of the query to the global scope, in a fine to coarse way. With MPD, our PatternQuest method can iteratively capture the patterns of interest with a little training data from the user's feedback. We have carried out extensive experiments on an image database (with 31,438 Corel images) to demonstrate the effectiveness and robustness of our method.","","POD:0-7803-8603-5","10.1109/ICME.2004.1394175","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1394175","","Computer science;Filters;Image databases;Information retrieval;Multimedia databases;Pattern classification;Robustness;Spatial databases;State feedback;Training data","iterative methods;learning (artificial intelligence);multimedia systems;pattern classification;relevance feedback;visual databases","Corel images;PatternQuest;adaptive random forests;feature selection;image database;multimedia information retrieval;multiresolution pattern discovery approach;pattern classification;pattern learning;patterns of interest;positive objects distribution patterns;relevance feedback","","0","","10","","","27-30 June 2004","","IEEE","IEEE Conference Publications"
"Concepts approximation for information retrieval from databases and pragmatic OLAP","S. Naouali; M. Quafafou","LINA, Nantes, France","Proceedings. 2004 International Conference on Information and Communication Technologies: From Theory to Applications, 2004.","20040706","2004","","","401","402","This paper presents rough SQL, which is a prototype, based on an extension of the SQL algebra by introducing concepts approximation operators. This extension uses mainly the lower and the upper approximations of the Rough Set Theory (RST). The SQL algebra is a powerful tool to extract explicit information stored in databases. This extension is then used to support flexible querying of multidimensional OLAP data and rules discovery. Rough SQL is based on an efficient and optimized algorithm that operates approximations on data only once and stores the results in the database. The advantages are: the first is reducing considerably time spent to do the same treatment for each concept approximation request of the user; the second is that users are so given answers immediately. It proposes just adding concept approximation operators to the SQL algebra for more flexibility when dealing with imperfect data. Rough SQL can be connected to any relational database and applied on data warehouses. These capabilities allow extending the OLAP (on line analytical processing) analytical querying capabilities with approximate queries supported by the Rough SQL.","","POD:0-7803-8482-2","10.1109/ICTTA.2004.1307801","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1307801","","Algebra;Cleaning;Data mining;Data warehouses;Decision support systems;Information retrieval;Multidimensional systems;Prototypes;Relational databases;XML","SQL;approximation theory;data mining;data warehouses;query processing;relational algebra;relational databases;rough set theory","SQL algebra;analytical querying;approximate query;concepts approximation operator;data warehouse;database store;explicit information extraction;information retrieval;lower upper approximation;multidimensional OLAP data querying;on line analytical processing;pragmatic OLAP;query optimized algorithm;relational database;rough SQL;rough set theory;rules discovery","","0","","6","","","19-23 April 2004","","IEEE","IEEE Conference Publications"
"Learning similarity for image retrieval with locally spatial information feedback","Xiaohang Ma; Dianhui Wang","Dept. of Comput. Sci. & Comput. Eng., La Trobe Univ., Melbourne, Australia","International Conference on Intelligent Sensing and Information Processing, 2004. Proceedings of","20040824","2004","","","133","138","For content-based image retrieval techniques, systems adopt certain metric to measure the similarity between images using some visual features. In most of existing approaches, the measurements are fixed up and calculated based on the whole image. The usefulness of those systems is limited because 1. The end-users are not involved in the retrieval processes. 2. The spatial information is not taken into account and end users can not put different emphasizes on different regions in the image when retrieve. Therefore, the systems demonstrate a disability to use the locally spatial relevance feedback. This paper describes an approach towards those problems to improve the discrimination power using locally spatial information. Images are divided into 5 overlapped regions and 5 neural networks are employed to measure the similarity between corresponding regions in a query image and images in the database. The relevance feedbacks for different regions from end users are used to refine the neural networks for adjusting the measurements. Results demonstrate a good potential of the methodology.","","POD:0-7803-8243-9","10.1109/ICISIP.2004.1287639","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287639","","Biomedical measurements;Computer science;Content based retrieval;Feedback;Image retrieval;Information retrieval;Multimedia databases;Neural networks;Neurofeedback;Spatial databases","content-based retrieval;feature extraction;image retrieval;learning (artificial intelligence);multimedia databases;neural nets;relevance feedback;visual databases","content based image retrieval;discrimination power;image database;learning;neural networks;query image;relevance feedback;spatial information feedback;visual features","","0","","17","","","2004","","IEEE","IEEE Conference Publications"
"An information retrieval system based on automatic query expansion and Hopfield network","Xiaowei Sheng; Minghu Jiang","Dept. of Chinese Language, Tsinghua Univ., Beijing, China","International Conference on Neural Networks and Signal Processing, 2003. Proceedings of the 2003","20040405","2003","2","","1624","1627 Vol.2","Automatic query expansion technique has been extensively used in a variety of information retrieval (IR) systems as a means of solving the problems of information overload and word mismatch. Based on the technique and Hopfield network, we propose a new IR model, called LCA-ANN model. With the heuristic function of Hopfield network, the new model is more precise in query expansion compared with other current models and can therefore enhance the performance greatly.","","POD:0-7803-7702-8","10.1109/ICNNSP.2003.1281192","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1281192","","Computational linguistics;Context modeling;Feedback;Information analysis;Information filtering;Information filters;Information resources;Information retrieval;Internet;Natural languages","Hopfield neural nets;information retrieval systems;query formulation","Hopfield network;automatic query expansion;heuristic function;information retrieval system;local context analysis;word mismatch","","1","2","9","","","14-17 Dec. 2003","","IEEE","IEEE Conference Publications"
"Information retrieval based on semantic query on RDF annotated resources","J. W. T. Lee; A. K. S. Wong","Dept. of Comput., Hong Kong Polytech Univ., China","2004 IEEE International Conference on Systems, Man and Cybernetics (IEEE Cat. No.04CH37583)","20050307","2004","4","","3220","3225 vol.4","The development of the semantic Web, where Web resources would be semantically annotated based on RDF and shared ontology, provides an opportunity for more effective meaning-based search and retrieval of information available through the Web. In such environment, a free text query can be posted and resolved into its semantics, which direct the information retrieval. One important factor in the performance of such semantic query is finding the right interpretation for the query words (i.e. word sense disambiguation). In this paper, we examine the performance of a new approach to such semantic query in the context of semantic Web.","1062-922X;1062922X","POD:0-7803-8566-7","10.1109/ICSMC.2004.1400836","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1400836","","Computer applications;Cybernetics;Humans;Indexing;Information resources;Information retrieval;Ontologies;Resource description framework;Semantic Web;Testing","query formulation;semantic Web;text analysis","RDF annotated resources;free text query;information retrieval;semantic Web;semantic query","","10","","14","","","10-13 Oct. 2004","","IEEE","IEEE Conference Publications"
"Emotional image and musical information retrieval with interactive genetic algorithm","Sung-Bae Cho","Dept. of Comput. Sci., Yonsei Univ., South Korea","Proceedings of the IEEE","20041108","2004","92","4","702","711","Several techniques in artificial intelligence have shown a great potential to develop useful human-computer interfaces, but it is still quite far from realizing a system of matching the human performance, especially in terms of emotion, intuition and inspiration. To overcome this shortcoming, we present a promising technique called interactive genetic algorithm (IGA), which performs optimization with human evaluation, and with which the user can obtain what he has in mind through repeated interaction. To project the usefulness of the IGA to develop emotional human-computer interfaces, we have applied it to the problems of image and music information retrieval. Several experiments show that our approach allows us to design and search digital media not only explicitly expressed, but also abstract images such as ""cheerful impression,"" and ""gloomy impression."" It is expected that the same approach can be applied to many other problems in musical information retrieval and manipulation based on intuition and inspiration.","0018-9219;00189219","","10.1109/JPROC.2004.825900","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278692","","Artificial intelligence;Biological cells;Computer science;Data mining;Genetic algorithms;Humans;Image retrieval;Music information retrieval;Performance evaluation;Testing","artificial intelligence;genetic algorithms;image retrieval;information retrieval;music;user interfaces","IGA;artificial intelligence;cheerful impression images;digital media;emotional human-computer interfaces;emotional image retrieval;gloomy impression images;interactive genetic algorithm;musical information manipulation;musical information retrieval;optimization","","22","","32","","","Apr 2004","","IEEE","IEEE Journals & Magazines"
"Adaptive power management for mobile agent-based information retrieval","Y. Jiao; A. R. Hurson","Dept. of Comput. Sci. & Eng., Pennsylvania State Univ., University Park, PA, USA","19th International Conference on Advanced Information Networking and Applications (AINA'05) Volume 1 (AINA papers)","20050425","2005","1","","675","680 vol.1","Mobile agent technology has been used in wireless distributed information retrieval for many years. However, the energy-efficiency issue in such systems remains unexplored. In this paper, we proposed an adaptive application-driven power management (AADPM) protocol for mobile agent-based applications within the IEEE 802.11b infrastructure WLAN environment. Our goal is to minimize energy while achieving low round trip time (RTT) delay. We discuss the protocol and evaluate its effectiveness using the network simulator NS2. We also draw horizontal comparisons among a variety of PM methods reported in the literature. Experimental results show that, compared to the power save mode supported by 802.11b, AADPM reduces the network interface card energy consumption by 65% while only introducing 3% RTT delay.","1550-445X;1550445X","POD:0-7695-2249-1","10.1109/AINA.2005.77","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1423567","IEEE 802.11b;mobile agent;power management","Delay effects;Energy efficiency;Energy management;Environmental management;Information retrieval;Mobile agents;Network interfaces;Power system management;Protocols;Wireless LAN","information retrieval;mobile agents;mobile computing;power consumption;wireless LAN","IEEE 802.11b;RTT delay;WLAN;adaptive application-driven power management protocol;mobile agent-based information retrieval;network simulator;round trip time;wireless distributed information retrieval","","3","","11","","","28-30 March 2005","","IEEE","IEEE Conference Publications"
