"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6406812,6407514,6406654,6407377,6358951,6359540,6359335,6359698,6359334,6359542,6359615,6359692,6359697,6359536,6359333,6359621,6359329,6358958,6359541,6359614,6359699,6359693,6359619,6359696,6359535,6358952,6358956,6359620,6359328,6358957,6349704,6349705,6147031,6147036,6147712,6147030,6147714,6147716,6147032,6147037,6147715,6147720,6147028,6147721,6064498,6064545,6064497,6016752,6016940,6017157,6017155,6016749,6016845,6016751,6017038,6017040,6017042,6017154,6016942,6016846,6017041,6016943,6016843,5708996,5708991,5708988,5708990,5708992,5708989,5708997,5589002,5589170,5589163,5589169,5589194,5589173,5460707,5460711,5460710,5460709,5460704,5460708,5460702,5460703,5382093,5382073,5382092,5382072,5382088,5382097,5382089,5306249,5306273,5306253,5306267,5306269,5306270,4724940,4725091,4725090",2017/05/05 21:33:25
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Author index","","","2011 International Conference on Machine Learning and Cybernetics","20110912","2011","3","","1","11","The author index contains an entry for each author and coauthor included in the proceedings record.","2160-133X;2160133X","Electronic:978-1-4577-0308-9; POD:978-1-4577-0305-8","10.1109/ICMLC.2011.6016940","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6016940","","","","","","0","","","","","10-13 July 2011","","IEEE","IEEE Conference Publications"
"[Publisher's information]","","","2008 Seventh International Conference on Machine Learning and Applications","20081222","2008","","","906","906","Provides a listing of current committee members and society officers.","","POD:978-0-7695-3495-4","10.1109/ICMLA.2008.148","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725091","","","","","","0","","","","","11-13 Dec. 2008","","IEEE","IEEE Conference Publications"
"[Blank page]","","","2012 International Conference on Machine Learning and Cybernetics","20121124","2012","3","","XII","XII","This page or pages intentionally left blank.","2160-133X;2160133X","Electronic:978-1-4673-1487-9; POD:978-1-4673-1484-8","10.1109/ICMLC.2012.6359540","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359540","","","","","","0","","","","","15-17 July 2012","","IEEE","IEEE Conference Publications"
"[Title page iii - Volume 1]","","","2011 10th International Conference on Machine Learning and Applications and Workshops","20120209","2011","1","","iii","iii","Conference proceedings title page.","","Electronic:978-0-7695-4607-0; POD:978-1-4577-2134-2","10.1109/ICMLA.2011.9","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6147031","","","","","","0","","","","","18-21 Dec. 2011","","IEEE","IEEE Conference Publications"
"[Front cover - Volume 1]","","","2011 10th International Conference on Machine Learning and Applications and Workshops","20120209","2011","1","","C1","C1","Presents the front cover or splash screen of the proceedings record.","","Electronic:978-0-7695-4607-0; POD:978-1-4577-2134-2","10.1109/ICMLA.2011.184","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6147036","","","","","","0","","","","","18-21 Dec. 2011","","IEEE","IEEE Conference Publications"
"[Front and back cover]","","","2011 International Conference on Machine Learning and Cybernetics","20110912","2011","1","","c1","c4","Presents the front and back covers of the proceedings.","2160-133X;2160133X","Electronic:978-1-4577-0308-9; POD:978-1-4577-0305-8","10.1109/ICMLC.2011.6017157","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6017157","","","","","","0","","","","","10-13 July 2011","","IEEE","IEEE Conference Publications"
"Author index","","","2012 International Conference on Machine Learning and Cybernetics","20121124","2012","2","","1","12","Presents an index of the authors whose articles are published in the conference proceedings record.","2160-133X;2160133X","Electronic:978-1-4673-1487-9; POD:978-1-4673-1484-8","10.1109/ICMLC.2012.6359335","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359335","","","","","","0","","","","","15-17 July 2012","","IEEE","IEEE Conference Publications"
"Author index","","","2010 Second International Conference on Machine Learning and Computing","20100506","2010","","","350","352","The author index contains an entry for each author and coauthor included in the proceedings record.","","Electronic:978-1-4244-6007-6; POD:978-1-4244-6006-9","10.1109/ICMLC.2010.68","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460711","","","","","","0","","","","","9-11 Feb. 2010","","IEEE","IEEE Conference Publications"
"Author Index - Volume 2","","","2011 10th International Conference on Machine Learning and Applications and Workshops","20120209","2011","2","","388","390","Presents an index of the authors whose papers are published in the conference.","","Electronic:978-0-7695-4607-0; POD:978-1-4577-2134-2","10.1109/ICMLA.2011.1","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6147712","","","","","","0","","","","","18-21 Dec. 2011","","IEEE","IEEE Conference Publications"
"Author index","","","2008 Seventh International Conference on Machine Learning and Applications","20081222","2008","","","906","911","The author index contains an entry for each author and coauthor included in the proceedings record.","","POD:978-0-7695-3495-4","10.1109/ICMLA.2008.147","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725090","","","","","","0","","","","","11-13 Dec. 2008","","IEEE","IEEE Conference Publications"
"[Title page iii]","","","2010 Ninth International Conference on Machine Learning and Applications","20110204","2010","","","iii","iii","Conference proceedings title page.","","Electronic:978-0-7695-4300-0; POD:978-1-4244-9211-4","10.1109/ICMLA.2010.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5708991","","","","","","0","","","","","12-14 Dec. 2010","","IEEE","IEEE Conference Publications"
"Acknowledgements","","","2010 IEEE International Workshop on Machine Learning for Signal Processing","20101007","2010","","","x","x","The conference organizers greatly appreciate the support of the various corporate sponsors listed.","1551-2541;15512541","Electronic:978-1-4244-7877-4; POD:978-1-4244-7875-0; USB:978-1-4244-7876-7","10.1109/MLSP.2010.5589170","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5589170","","","","","","0","","","","","Aug. 29 2010-Sept. 1 2010","","IEEE","IEEE Conference Publications"
"Contents","","","2012 International Conference on Machine Learning and Cybernetics","20121124","2012","5","","1","4","Presents the table of contents of the proceedings.","2160-133X;2160133X","Electronic:978-1-4673-1487-9; POD:978-1-4673-1484-8","10.1109/ICMLC.2012.6359698","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359698","","","","","","0","","","","","15-17 July 2012","","IEEE","IEEE Conference Publications"
"[Title page i - Volume 1]","","","2011 10th International Conference on Machine Learning and Applications and Workshops","20120209","2011","1","","i","i","Conference proceedings title page.","","Electronic:978-0-7695-4607-0; POD:978-1-4577-2134-2","10.1109/ICMLA.2011.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6147030","","","","","","0","","","","","18-21 Dec. 2011","","IEEE","IEEE Conference Publications"
"[Front and back cover]","","","2011 International Conference on Machine Learning and Cybernetics","20110912","2011","3","","c1","c4","Presents the front and back covers of the proceedings.","2160-133X;2160133X","Electronic:978-1-4577-0308-9; POD:978-1-4577-0305-8","10.1109/ICMLC.2011.6017155","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6017155","","","","","","0","","","","","10-13 July 2011","","IEEE","IEEE Conference Publications"
"Author index","","","2011 International Conference on Machine Learning and Cybernetics","20110912","2011","1","","1","11","The author index contains an entry for each author and coauthor included in the proceedings record.","2160-133X;2160133X","Electronic:978-1-4577-0308-9; POD:978-1-4577-0305-8","10.1109/ICMLC.2011.6016749","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6016749","","","","","","0","","","","","10-13 July 2011","","IEEE","IEEE Conference Publications"
"Author index","","","2010 Ninth International Conference on Machine Learning and Applications","20110204","2010","","","1021","1026","The author index contains an entry for each author and coauthor included in the proceedings record.","","Electronic:978-0-7695-4300-0; POD:978-1-4244-9211-4","10.1109/ICMLA.2010.162","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5708988","","","","","","0","","","","","12-14 Dec. 2010","","IEEE","IEEE Conference Publications"
"Contents","","","2012 International Conference on Machine Learning and Cybernetics","20121124","2012","2","","1","4","Presents the table of contents of the proceedings.","2160-133X;2160133X","Electronic:978-1-4673-1487-9; POD:978-1-4673-1484-8","10.1109/ICMLC.2012.6359334","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359334","","","","","","0","","","","","15-17 July 2012","","IEEE","IEEE Conference Publications"
"[Roster]","","","2010 Second International Conference on Machine Learning and Computing","20100506","2010","","","354","354","Provides a listing of current committee members and society officers.","","Electronic:978-1-4244-6007-6; POD:978-1-4244-6006-9","10.1109/ICMLC.2010.69","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460710","","","","","","0","","","","","9-11 Feb. 2010","","IEEE","IEEE Conference Publications"
"[Front matter]","","","2011 International Conference on Machine Learning and Cybernetics","20110912","2011","2","","1","2","Contains various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","2160-133X;2160133X","Electronic:978-1-4577-0308-9; POD:978-1-4577-0305-8","10.1109/ICMLC.2011.6016845","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6016845","","","","","","0","","","","","10-13 July 2011","","IEEE","IEEE Conference Publications"
"Acknowledgments","","","2009 IEEE International Workshop on Machine Learning for Signal Processing","20091030","2009","","","1","1","The conference organizers greatly appreciate the support of the various corporate sponsors listed.","1551-2541;15512541","POD:978-1-4244-4947-7","10.1109/MLSP.2009.5306273","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5306273","","","","","","0","","","","","1-4 Sept. 2009","","IEEE","IEEE Conference Publications"
"Author index","","","2012 International Conference on Machine Learning and Cybernetics","20121124","2012","3","","1","12","Presents an index of the authors whose articles are published in the conference proceedings record.","2160-133X;2160133X","Electronic:978-1-4673-1487-9; POD:978-1-4673-1484-8","10.1109/ICMLC.2012.6359542","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359542","","","","","","0","","","","","15-17 July 2012","","IEEE","IEEE Conference Publications"
"[Title page]","","","2010 IEEE International Workshop on Machine Learning for Signal Processing","20101007","2010","","","i","i","Conference proceedings title page.","1551-2541;15512541","Electronic:978-1-4244-7877-4; POD:978-1-4244-7875-0; USB:978-1-4244-7876-7","10.1109/MLSP.2010.5589163","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5589163","","","","","","0","","","","","Aug. 29 2010-Sept. 1 2010","","IEEE","IEEE Conference Publications"
"[Title pages]","","","2012 International Conference on Machine Learning and Cybernetics","20121124","2012","4","","1","2","Presents the title pages of the proceedings.","2160-133X;2160133X","Electronic:978-1-4673-1487-9; POD:978-1-4673-1484-8","10.1109/ICMLC.2012.6359615","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359615","","","","","","0","","","","","15-17 July 2012","","IEEE","IEEE Conference Publications"
"[Front cover]","","","2009 IEEE International Workshop on Machine Learning for Signal Processing","20091030","2009","","","c1","c1","The following topics were covered: complex-value adaptive signal processing; group independent component analysis for fMRI data and ICA for joint inference of imaging, genetic, and ERP data; cognitive components of digital media; signal detection, pattern recognition and classification; blind source separation; learning in Markov models; applications; learning theory and modelling; machine learning in remote sensing data processing; speech and audio processing; scene variability and perception constancy in the visual system; Bayesian learning; brain-computer interfaces; kernel machines; and biomedical applications.","1551-2541;15512541","POD:978-1-4244-4947-7","10.1109/MLSP.2009.5306249","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5306249","","","learning (artificial intelligence);signal processing","Bayesian learning;ICA;Markov models;audio processing;blind source separation;brain-computer interfaces;cognitive components;complex-value adaptive signal processing;digital media;fMRI data;group independent component analysis;kernel machines;learning theory;machine learning;modelling;pattern classification;pattern recognition;remote sensing data processing;signal detection;speech processing;visual system","","0","","","","","1-4 Sept. 2009","","IEEE","IEEE Conference Publications"
