"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5354000,5352689,5352759,5352820,5346181,5347229,5348494,5344150,5345539,5348452,5346669,5345321,5345982,5342168,5340938,4674368,5319754,5329355,5331710,5332081,5331782,5333025,5334512,5333610,5325152,5166473,5075557,5317570,5075529,4695820,5308098,5306233,5303973,5301576,5305953,5287616,5287613,5287528,5289010,5286029,5159498,5286020,5283875,5280791,5278514,5277001,5279602,5278650,5273884,5277370,5277868,5273973,5267463,5260843,5254500,5254575,5254355,5255125,5233955,5231892,5232454,5232395,5230996,5231027,5230518,5227991,4814677,5228363,5226841,5212624,5212413,5213760,5215879,5223783,5209329,5204119,5204981,5204343,5206577,5197421,5194519,5175960,5178608,5179093,5178863,5175841,5170595,5172709,5171231,5174355,5170224,5166300,5163072,5158992,5136772,5137129,5118378,5091044,5090792,5090931",2017/05/04 23:43:32
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Real-Time Collaborative Filtering Using Extreme Learning Machine","W. Deng; Q. Zheng; L. Chen","","2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology","20091013","2009","1","","466","473","Because of long-consuming training or similarity computing, most traditional collaborative filtering algorithms are off-line methods and can’t be applied in collaborative-filtering services that have accumulated large amounts of data and need to compute predictions under real-time conditions. In order to address this problem, we propose a novel real-time collaborative filtering algorithm, called RCF, based on Extreme Learning Machine (ELM). The initial training and updating of RCF are very fast and can be finished in real time. The experimental results show that the mean recommendation time of RCF is shorter than SVD/ANN and correlation-based algorithms reported in other papers while the accuracy is better.","","POD:978-0-7695-3801-3","10.1109/WI-IAT.2009.80","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5286029","Extreme Learning Machine;collaborative filtering","Artificial neural networks;Collaboration;Filtering algorithms;Information filtering;Information filters;Intelligent agent;Intelligent networks;Learning systems;Machine learning;Machine learning algorithms","","","","0","","35","","","15-18 Sept. 2009","","IET","IET Conference Publications"
"Simple Ensemble of Extreme Learning Machine","Y. Liu; X. Xu; C. Wang","Sch. of Software, Dalian Univ. of Technol., Dalian, China","2009 2nd International Congress on Image and Signal Processing","20091030","2009","","","1","5","In this paper, a novel approach for neural network ensemble called Simple Ensemble of Extreme Learning Machine (SE-ELM) is proposed. It is proved theoretically in this study that the generalization ability of an ensemble is determined by the diversity of its components' output space. Therefore SE-ELM regards the diversity of components' output space as a target during the training process. In the first phase, SE-ELM initializes each component with different input weights and analytically determines the output weights through generalized inverse operation of the hidden layer output matrices. The difference among components' input weights forces those components to have different output space thus increasing the diversity of the ensemble. Experiments carried on four real world problems show that SE-ELM not only runs much faster but also presents better generalization performance than some classic ensemble algorithms.","","POD:978-1-4244-4129-7","10.1109/CISP.2009.5303973","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5303973","","Artificial neural networks;Bagging;Boosting;Engineering management;Genetic algorithms;Machine learning;Neural networks;Neurons;Technology management;Training data","learning (artificial intelligence);neural nets","SE-ELM;hidden layer output matrix;neural network ensemble;simple ensemble of extreme learning machine","","1","","12","","","17-19 Oct. 2009","","IEEE","IEEE Conference Publications"
"A novel traffic classification algorithm using machine learning","L. Huixian; L. Xiaojuan","Capital Normal University, Beijing","2009 2nd IEEE International Conference on Broadband Network & Multimedia Technology","20091204","2009","","","340","344","Internet traffic classification is of prime importance to the areas of network management and security monitoring, network planning, and QoS provision. But the Traditional Classifications depend on certain header fields (take port numbers for instance). These port-based and payload-based approaches will be out of action when a lot of applications like P2P use dynamic port numbers. Masquerading techniques and payload encryption requires a high amount of resource of computing and is easily infeasible in the protocol that unknown or encrypted. This paper describes a different level in network traffic-analysis using an unsupervised machine learning technique. In this approach flows are automatically classified by exploiting the different statistics characteristics of flow. We implement and estimate the efficiency and feasibility of our approach using data at different location of Internet. A new attribute selection method is put forward to determine optimal attribute set and evaluate the influence.","","POD:978-1-4244-4590-5","10.1109/ICBNMT.2009.5348494","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5348494","Attribute Selection;Machine-Learning (ML);Traffic Classification","Classification algorithms;Cryptography;IP networks;Machine learning;Machine learning algorithms;Monitoring;Payloads;Protocols;Statistics;Telecommunication traffic","Internet;cryptographic protocols;pattern classification;quality of service;statistical analysis;telecommunication computing;telecommunication network management;telecommunication network planning;telecommunication security;telecommunication traffic;unsupervised learning","Internet traffic classification algorithm;QoS;masquerading technique;network management;network planning;optimal attribute set selection;payload encryption;port-payload-based approach;protocol;security monitoring;statistics;unsupervised machine learning","","0","","16","","","18-20 Oct. 2009","","IEEE","IEEE Conference Publications"
"Dynamic Multicore Resource Management: A Machine Learning Approach","J. F. Martinez; E. Ipek","Cornell University","IEEE Micro","20091110","2009","29","5","8","17","A machine learning approach to multicore resource management produces self-optimizing on-chip hardware agents capable of learning, planning, and continuously adapting to changing workload demands. Machine learning is the study of computer programs and algorithms that learn about their environment and improve automatically with experience.This approach thus contrasts with today's predominant approach of directly specifying at design time how the hardware should accomplish the desired goal. This results in more efficient and flexible management of critical hardware resources at runtime.","0272-1732;02721732","","10.1109/MM.2009.77","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5325152","dynamic resource management;machine learning.;multicore","Algorithm design and analysis;Hardware;Machine learning;Machine learning algorithms;Multicore processing;Resource management;Runtime","learning (artificial intelligence);microprocessor chips;multiprocessing systems;planning (artificial intelligence)","computer algorithm;computer program;critical hardware resource;dynamic multicore resource management;flexible management;machine learning approach;planning approach;self-optimizing on-chip hardware agent","","17","","16","","","Sept.-Oct. 2009","","IEEE","IEEE Journals & Magazines"
"CpG-discover: A machine learning approach for CpG islands identification from human DNA sequence","M. Lan; Y. Xu; L. Li; F. Wang; Y. Zuo; Y. Chen; C. L. Tan; J. Su","Department of Computer Science and Technology, East China Normal University, No.500 Dong Chuan Road, Shanghai 200241, China","2009 International Joint Conference on Neural Networks","20090731","2009","","","1702","1707","CpG islands (CGIs) play a fundamental role in genome analysis as genomic markers and tumor markers. Identification of potential CGIs has contributed not only to the prediction of promoters of most house-keeping genes and many tissue-specific genes but also to the understanding of the epigenetic causes of cancer. The most current methods for identifying CGIs suffered from various limitations and involved a lot of human intervention for search purpose. In this paper, we implement a HMM-based CGIs identification system, namely CpG-Discover. Experiments have been conducted on the EMBL human DNA database and in comparison with other widely-used tools. The controlled experimental results indicate that our system is a promising tool and has the capability of locating CGIs accurately. In addition, our system has significant differences from other tools in that it avoids the disadvantages of using sliding windows and it reduces the large amount of human intervention needed to search for or to combine potential CGIs (such as, the thresholds of initial density or distance seed). Therefore, given annotated training data set, our system has the adaptability to find other specific nucleotides sequences in DNA.","2161-4393;21614393","POD:978-1-4244-3548-7","10.1109/IJCNN.2009.5178863","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5178863","","Bioinformatics;Cancer;Control systems;DNA;Databases;Genomics;Humans;Machine learning;Neoplasms;Sequences","DNA;biological tissues;biology computing;cancer;genetics;hidden Markov models;learning (artificial intelligence)","CpG islands identification;CpG-Discover;EMBL human DNA database;cancer;epigenetic causes;genome analysis;genomic markers;hidden Markov model;house-keeping genes;human DNA sequence;machine learning approach;nucleotides sequences;tissue-specific genes;tumor markers","","0","","17","","","14-19 June 2009","","IEEE","IEEE Conference Publications"
"Trend Analysis of Machine Learning - A Text Mining And Document Clustering Methodology","J. M. Yang; W. C. Liao; W. C. Wu; C. Y. Yin","Dept. of Manage. Inf. Syst., Nat. Chengchi Univ., Taipei, Taiwan","2009 International Conference on New Trends in Information and Service Science","20090925","2009","","","481","486","The machine learning is certificated as one of the most important technologies in todaypsilas world. There are several various researches applying machine learning to improve its operation efficiency in many different aspects.Based on the social science citation index (SSCI) database,this research is using text mining technology which collecting the homogeneous glossaries in the articles, conducting to the literature cluster analysis. To select the term frequency index which generated by various glossaries aggregation from each article as well as an input variable for self-organization map(SOM) network, following by utilizing the network neuron automatic clustering function, dividing into 10 application domains of machine learning, finally proceeding the trend analysis coordinated with the articles by published year,discovering the historical vein and collecting the results by each research area, and further forecasting the future possible tendency.","","POD:978-0-7695-3687-3","10.1109/NISS.2009.176","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5260843","document clustering;neural network;text mining","Citation analysis;Databases;Frequency conversion;Indexes;Input variables;Machine learning;Neurons;Terminology;Text mining;Veins","data mining;learning (artificial intelligence);neural nets;pattern clustering;self-organising feature maps;text analysis","document clustering;machine learning;network neuron automatic clustering function;self-organization map network;social science citation index;term frequency index;text mining;trend analysis","","0","","24","","","June 30 2009-July 2 2009","","IEEE","IEEE Conference Publications"
"Pitch Accent Prediction Using Ensemble Machine Learning","A. Zhang; C. Ni","Sch. of Stat. & Math., Shandong Univ. of Finance, Jinan, China","2009 Second International Conference on Intelligent Computation Technology and Automation","20091016","2009","1","","444","447","In this study, we applied ensemble machine learning to predict pitch accent. With decision tree as the baseline algorithm, we use popular ensemble method-boosting, at different experiment conditions, such as using acoustic features only, use text-based only, using both acoustic and text-based features to evaluate the performance of ensemble machine learning method. Pitch and energy related acoustic features are derived from statistic methods, and we consider context influences to pitch and energy related features. Models of pitch accent (accent and unaccented) are built at the syllable level. At the same time, we compare support vector machine (SVM) to predict pitch accent at same experiment conditions. Results showed that in all experiments ensemble machine learning achieved improved performance. The best result obtained using ensemble machine learning is 82.60% accuracy to Mandarin read speech.","","POD:978-0-7695-3804-4","10.1109/ICICTA.2009.114","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5287616","ensemble machine learning;pitch accent;prosody","Automatic speech recognition;Finance;Labeling;Learning systems;Machine learning;Mathematics;Natural languages;Speech synthesis;Statistics;Support vector machines","decision trees;learning (artificial intelligence);speech processing;statistical analysis","Mandarin read speech;acoustic feature;boosting method;decision tree;ensemble machine learning;pitch accent prediction;statistic method;text-based feature","","0","","19","","","10-11 Oct. 2009","","IEEE","IEEE Conference Publications"
"Machine Learning Methods for Medical Text Categorization","Q. Zhang; J. Tan; H. Zhou; W. Tao; K. He","Coll. of Med. Inf. Eng., Guangdong Pharm. Univ., Guangzhou, China","2009 Pacific-Asia Conference on Circuits, Communications and Systems","20090904","2009","","","494","497","This paper reports a comparative study for medical text categorizations on four machine learning methods: k nearest neighbor (kNN), support vector machines (SVM), naive Bayes (NB) and clonal selection algorithm based on antibody density (CSABAD). CSABAD is an improved immune algorithm proposed by us. According to the clonal selection principle and density control mechanism, only those cells that have higher affinity and lower density are selected to proliferate. In addition, we propose an improved approach, called term frequency, inverted document frequency and inverted entropy (TFIDFIE), to compute term weights in document indexing. It considers the distribution of documents in the training set in which the term occurs. Our experiments show that SVM and CSABAD outperform significantly kNN and naive Bayes, and TFIDFIE is more effective than TFIDF on OHSCAL data set.","","POD:978-0-7695-3614-9","10.1109/PACCS.2009.156","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5232395","document indexing;immune algorithm;machine learning;medical text categorization","Entropy;Frequency;Immune system;Indexing;Learning systems;Machine learning algorithms;Nearest neighbor searches;Niobium;Support vector machines;Text categorization","document handling;indexing;learning (artificial intelligence);medical computing;support vector machines;text analysis","antibody density;clonal selection algorithm;density control mechanism;document indexing;improved immune algorithm;inverted document frequency;inverted entropy;k nearest neighbor;machine learning methods;medical text categorization;naive Bayes;support vector machines;term frequency","","4","","14","","","16-17 May 2009","","IEEE","IEEE Conference Publications"
"Machine learning approach for classifying histone modifications","A. Gorthi; R. Jain; N. Dimitrova","Philips Research Asia-Bangalore, Philips Innovation Campus, Manyata Tech Park, Nagavara, 560 045, India","2009 IEEE International Workshop on Genomic Signal Processing and Statistics","20090724","2009","","","1","4","Post-translational modifications pegged on to the N-terminal tails of the nucleosomes core histone proteins determine the transcriptional activity of that chromosomal region leading to the histone code hypothesis. We rely on recently produced experimental data on genome-wide maps of chromatin state to derive computational models delineating the hidden patterns of post-translational modifications. We use support vector machines to model and predict post-translational modification state of the histones using a diverse set of features. The classification results on the human CD-4+ T-cells by five-fold cross-validation show promising results. Our analysis reveals better classification accuracy when employing chromosome-specific classifiers. Finally, we show how computational models can be used to provide an initial estimate of the chromatin state and its effect on DNA loci.","2150-3001;21503001","POD:978-1-4244-4761-9","10.1109/GENSIPS.2009.5174355","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5174355","","Bioinformatics;Chromosome mapping;Computational modeling;Genomics;Machine learning;Predictive models;Proteins;Support vector machine classification;Support vector machines;Tail","DNA;cellular biophysics;genomics;learning (artificial intelligence);medical computing;molecular biophysics;pattern classification;proteins;support vector machines","DNA sequence;chromatin state;chromosome classifier;computational model;genome-wide maps;histone code hypothesis;histone protein classification;human CD-4+ T-cells;machine learning approach;nucleosomes N-terminal tails;post-translational modification;support vector machine","","3","","10","","","17-21 May 2009","","IEEE","IEEE Conference Publications"
"MALADY: A Machine Learning-Based Autonomous Decision-Making System for Sensor Networks","S. Krishnamurthy; G. Thamilarasu; C. Bauckhage","United Technol. Res. Center, East Hartford, CT, USA","2009 International Conference on Computational Science and Engineering","20091009","2009","2","","93","100","As the capabilities of sensor networks evolve, we need to address the challenges that will help in shifting the perception of sensor networks as being merely a data-gathering network to that of a network that is capable of learning and making decisions autonomously. This shift in intelligence from the edge to the nodes in the network is particularly relevant in unattended sensor deployments where there is no continuous access to a remote base station. In this paper, we propose an architecture, called MALADY, which uses a machine learning approach to enable a network of embedded sensor nodes to use the data that they have gathered to learn and make decisions in real-time within the network and thereby, become autonomous. MALADY supports supervised as well as unsupervised learning algorithms. Our implementation of the algorithms introduces some practical optimizations, in order to make them viable for nodes with limited resources. Our experimental results base don an implementation on the MicaZ mote/TinyOS platform show that the supervised learning technique based on linear discriminant analysis has a higher learning complexity, but allows a sensor node to learn about the data correlations robustly and make decisions accurately, after learning from only a few samples. In comparison, the unsupervised learning technique based on clustering has a low overhead, but requires more learning samples to achieve a high detection accuracy.","","POD:978-1-4244-5334-4","10.1109/CSE.2009.246","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5283875","autonomous decision-making;machine learning;sensor network;supervised learning;unsupervised learning","Base stations;Decision making;Intelligent networks;Intelligent sensors;Learning systems;Machine learning;Machine learning algorithms;Sensor systems;Supervised learning;Unsupervised learning","decision making;telecommunication computing;unsupervised learning;wireless sensor networks","MALADY;MicaZ mote;TinyOS platform;autonomous decision making system;data correlations;data gathering network;embedded sensor nodes;linear discriminant analysis;machine learning;supervised learning technique;unsupervised learning algorithms;wireless sensor networks","","3","","15","","","29-31 Aug. 2009","","IEEE","IEEE Conference Publications"
