"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1020957,1021462,1026510,1024761,1029953,1021073,1024759,1026477,1026235,1032209,980543,957039,1008893,943721,1009027,918934,1007263,918869,931806,1004353,953703,957014,1008894,931790,953060,934334,942017,1004513,938453,1011379,1000391,1006656,933755,1000351,1017738,953065,905073,958597,1015549,918728,914863,953916,925411,918829,940051,957013,1014574,944458,1009057,999900,1011366,953859,963104,934058,942580,885071,942207,883003,926653,869612,882411,973025,850789,897197,871458,887844,972058,859326,887269,875123,878183,904635,870334,902859,838689,843295,983029,845202,973041,890409,882400,942154,871571,875079,973042,875013,971960,885798,976827,884381,882416,873742,841934,972521,880450,869615,977508,942181,978273,859741",2017/05/04 20:33:36
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A model for multimodal information retrieval","R. K. Srihari; A. Rao; B. Han; S. Munirathnam; Xiaoyun Wu","State Univ. of New York, Buffalo, NY, USA","2000 IEEE International Conference on Multimedia and Expo. ICME2000. Proceedings. Latest Advances in the Fast Changing World of Multimedia (Cat. No.00TH8532)","20020806","2000","2","","701","704 vol.2","Finding useful information from large multimodal document collections such as the WWW without encountering numerous false positives poses a challenge to multimodal information retrieval systems (MMIR). A general model for multimodal information retrieval is proposed by which a user's information need is expressed through composite, multimodal queries, and the most appropriate weighted combination of indexing techniques is determined by a machine learning approach in order to best satisfy the information need. The focus is on improving precision and recall in a MMIR system by optimally combining text and image similarity. Experiments are presented which demonstrate the utility of individual indexing systems in improving overall average precision","","POD:0-7803-6536-4","10.1109/ICME.2000.871458","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=871458","","Content based retrieval;Database languages;Feedback;Image retrieval;Indexing;Information retrieval;Logic;Machine learning;Utility theory;World Wide Web","image retrieval;indexing;information needs;information retrieval systems;learning (artificial intelligence)","WWW;composite multimodal queries;image similarity;indexing techniques;large multimodal document collections;machine learning approach;multimodal information retrieval model;precision;recall;text similarity;user information needs","","3","1","6","","","2000","30 Jul 2000-02 Aug 2000","IEEE","IEEE Conference Publications"
"An active integrated retrodirective transponder for remote information retrieval","R. Y. Miyamoto; Y. Qian; T. Itoh","Dept. of Electr. Eng., California Univ., Los Angeles, CA, USA","IEEE Antennas and Propagation Society International Symposium. Transmitting Waves of Progress to the Next Millennium. 2000 Digest. Held in conjunction with: USNC/URSI National Radio Science Meeting (C","20020806","2000","1","","194","197 vol.1","A novel retrodirective transponder is introduced, with potential application in high performance digital communications. Active circuitry is integrated for phase conjugation, giving conversion gain in addition to phase conjugating operation, therefore enabling retrodirectivity. Applying a modulated LO signal, the array can send local information directly back to the base station on demand.","","POD:0-7803-6369-8","10.1109/APS.2000.873742","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=873742","","Base stations;Circuits;Digital communication;Information retrieval;Microwave communication;Microwave theory and techniques;Phased arrays;RF signals;Radio frequency;Transponders","active antenna arrays;digital radio;directive antennas;information retrieval;microstrip antenna arrays;transponders","RF tag;active circuitry;active integrated retrodirective transponder;base station;conversion gain;high performance digital communications;modulated LO signal;patch antenna;phase conjugation;remote information retrieval;retrodirective array;retrodirective transponder","","4","1","6","","","16-21 July 2000","16 Jul 2000-21 Jul 2000","IEEE","IEEE Conference Publications"
"Computing with words in information retrieval","F. Berzal; M. J. Martin-Bautista; M. A. Vila; H. L. Larsen","Dept. de Ciencias de la Comput. e Inteligencia Artific, Granada Univ., Spain","Proceedings Joint 9th IFSA World Congress and 20th NAFIPS International Conference (Cat. No. 01TH8569)","20020807","2001","","","3088","3092 vol.5","A study of the use of computing with words in information retrieval processes is presented in this paper. The lack of user-friendly communication interfaces between the user and the system in traditional retrieval approaches is rectified with the use of fuzzy logic at the different levels of the retrieval process. The advent of fuzzy information retrieval systems allows a linguistic representation, providing the user with a tool of understandable language based on words. Apart from outlining the fuzzy linguistic model in the processes of querying and evaluation, some reflections and discussions on the future trends of linguistic modelling in the processes of user feedback and user profile construction are outlined","","POD:0-7803-7078-3","10.1109/NAFIPS.2001.943721","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=943721","","Artificial intelligence;Computer science;Feedback;Fuzzy logic;Fuzzy sets;Fuzzy systems;Indexing;Information retrieval;Reflection;Road transportation","computational linguistics;fuzzy logic;information retrieval;natural language interfaces;natural languages","evaluation processes;future trends;fuzzy information retrieval systems;fuzzy linguistic model;fuzzy logic;information retrieval processes;linguistic representation;querying processes;understandable language tool;user feedback;user profile construction;user-friendly communication interface;word-based computing","","0","","15","","","25-28 July 2001","25 Jul 2001-28 Jul 2001","IEEE","IEEE Conference Publications"
"A distributed search engine for fresh information retrieval","N. Sato; M. Uehara; Y. Sakai; H. Mori","Dept. of Inf. & Comput. Sci., Toyo Univ., Japan","12th International Workshop on Database and Expert Systems Applications","20020807","2001","","","211","216","In information retrieval of web pages, we usually use search engines. A conventional search engine has the problem that the update interval is very long because it is based on centralized architecture, which collects documents by using robots. So, we have developed a distributed search engine, cooperative search engine (CSE) in order to reduce the update interval. In CSE, a global search engine is constructed with multiple meta search engines, which hide each local search engine in each Web site. CSE can make the update interval very short by indexing on each web site. In this paper we describe the framework of CSE and its efficiency","","POD:0-7695-1230-5","10.1109/DEXA.2001.953065","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=953065","","Indexing;Information retrieval;Internet;Metasearch;Robots;Search engines;Technological innovation;Web pages;Web server;World Wide Web","Internet;information retrieval;search engines","centralized architecture;cooperative search engine;distributed search engine;fresh information retrieval;multiple meta search engines;update interval","","3","2","18","","","2001","03 Sep 2001-07 Sep 2001","IEEE","IEEE Conference Publications"
"Adaptive parameter tuning for relevance feedback of information retrieval","Jian Zhang; Yannan Zhao; Zehong Yang; Jiaxin Wang","Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China","Proceedings of the 4th World Congress on Intelligent Control and Automation (Cat. No.02EX527)","20021107","2002","3","","2132","2135 vol.3","Relevance feedback is an effective way to improve the performance of an information retrieval system. In practice, the parameters for feedback were usually determined manually without the consideration of the quality of the query. We propose a new concept (adaptiveness) to measure the quality of the query. We built two models to predict the adaptiveness of the query. The parameters for feedback were then determined by the quality of the query. Our experiments on TREC data showed that the performance was improved significantly when compared with blind relevance feedback.","","POD:0-7803-7268-9","10.1109/WCICA.2002.1021462","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021462","","Automation;Computer science;Information retrieval;Intelligent control;Intelligent systems;Laboratories;Predictive models;State feedback","information retrieval systems;relevance feedback;software performance evaluation","TREC data;adaptive parameter tuning;experiments;information retrieval;information retrieval system;performance;query adaptiveness;query quality;relevance feedback","","0","","","","","2002","","IEEE","IEEE Conference Publications"
"Retrieval of remotely sensed imagery using spectral information content","T. Bretschneider; R. Cavet; O. Kao","Dept. of Comput. Sci., Tech. Univ. Clausthal, Clausthal-Zellerfeld, Germany","IEEE International Geoscience and Remote Sensing Symposium","20021107","2002","4","","2253","2255 vol.4","The retrieval of images in professional remote sensing databases is based on world-oriented information like for example the location of the scene, the utilised scanner, and the date of acquisition. However, these descriptions are not meaningful for many users who have a limited knowledge about remote sensing but nevertheless have to work with satellite imagery. Therefore the retrieval of an appropriate scene is often almost impossible since adequate techniques are not provided by the database systems. This paper proposes the content-based retrieval for satellite imagery using the query-by-example approach. The main contribution is the reliable and scanner independent technique for the feature extraction and representation. The entire approach is unsupervised to stay abreast of the daily increasing huge data volume.","","POD:0-7803-7536-X","10.1109/IGARSS.2002.1026510","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1026510","","Classification algorithms;Content based retrieval;Data mining;Feature extraction;Image databases;Image retrieval;Information retrieval;Layout;Remote sensing;Satellites","feature extraction;geophysical signal processing;geophysical techniques;information retrieval;multidimensional signal processing;remote sensing;terrain mapping","IR;appropriate scene;content-based retrieval;feature extraction;geophysical measurement technique;image retrieval;information retrieval;infrared;land surface;multispectral remote sensing;optical image;query-by-example;remote sensing;satellite imagery;spectral information content;terrain mapping;visible","","9","","13","","","2002","","IEEE","IEEE Conference Publications"
"Democratic data fusion for information retrieval mediators","Y. Tzitzikas","University of Crete","Proceedings ACS/IEEE International Conference on Computer Systems and Applications","20020807","2001","","","530","536","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00934058.png"" border=""0"">","","POD:0-7695-1165-1","10.1109/AICCSA.2001.934058","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=934058","","Bandwidth;Computer science;Costs;Engines;Fuses;Indexing;Information retrieval;Metasearch;Nominations and elections;Voting","","","","2","","13","","","2001","","IEEE","IEEE Conference Publications"
"Information retrieval support systems","Y. Y. Yao","Dept. of Comput. Sci., Regina Univ., Sask., Canada","Fuzzy Systems, 2002. FUZZ-IEEE'02. Proceedings of the 2002 IEEE International Conference on","20020807","2002","2","","1092","1097","Information retrieval support systems (IRSS) are designed with the objective to provide the necessary utilities, tools, and languages that support a user to perform various tasks in finding useful information and knowledge. While existing information retrieval systems (IRS) focus on the search and browsing functionalities, an IRSS focuses on the supporting functionalities. IRSS are more flexible and combine the functionalities of IRS, Web browser and Web search engines. One objective of the paper is to demonstrate the needs for, and the potential benefits of, moving from IRS to IRSS. On the one hand, IRSS is an emerging important research topic, and on the other hand, there is a lack of a systematic study on the topic. Another objective of the paper is to present a framework for IRSS by drawing results from decision support systems (DSS) and intelligent systems. Basic issues of IRSS are discussed, and basic components of an IRSS, as well as its functionalities, are studied","","POD:0-7803-7280-8","10.1109/FUZZ.2002.1006656","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1006656","","Computer science;Database systems;Decision support systems;Information retrieval;Intelligent systems;Libraries;Search engines;Web search;Web sites;XML","decision support systems;online front-ends;search engines","IRS;Web browser;Web search engines;decision support systems;information retrieval support systems;intelligent systems;supporting functionalities;useful information;useful knowledge","","17","","14","","","2002","12 May 2002-17 May 2002","IEEE","IEEE Conference Publications"
"DelfosnetX: a workbench for XML-based information retrieval systems","M. J. Fernandez-Iglesias; P. Pavon-Marino; J. Rodriguez-Estevez; L. A. Rifon; M. Llamas-Nistal","Dept. de Tecnologias de las Commun., Vigo Univ., Spain","Proceedings Seventh International Symposium on String Processing and Information Retrieval. SPIRE 2000","20020806","2000","","","87","95","The authors present DelfosnetX, an information retrieval (IR) system intended to evaluate different relevance analysis and ranking techniques for metadata-enabled IR, and more specifically, XML based IR. The theoretical background that supports the proposed model is also discussed","","POD:0-7695-0746-8","10.1109/SPIRE.2000.878183","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=878183","","Computer science;Context modeling;Data mining;Database languages;Information analysis;Information management;Information retrieval;Search engines;Testing;XML","hypermedia markup languages;information retrieval;information retrieval system evaluation;meta data","DelfosnetX;XML based IR;XML based information retrieval systems;metadata-enabled IR;ranking techniques;relevance analysis;theoretical background;workbench","","0","","12","","","2000","27 Sep 2000-29 Sep 2000","IEEE","IEEE Conference Publications"
"A parametric scheme for ocean wave spectra retrieval from complex SAR data using prior information","J. Schulz-Stellenfleth; S. Lehner; D. Hoja; T. Koenig","German Aerosp. Center, Oberpfaffenhofen, Germany","IEEE International Geoscience and Remote Sensing Symposium","20021107","2002","4","","2156","2158 vol.4","A parametric inversion scheme for the retrieval of two dimensional ocean wave spectra from look cross spectra (LCS) acquired by spaceborne synthetic aperture radar (SAR) is presented. The scheme takes information about the spectral shape of different wave systems from a prior wave spectrum, while estimates for wavelength, waveheight and wave propagation direction are extracted from SAR cross spectra. The Partition Rescaling and Shift Algorithm (PARSA) is based on a partioning of a prior wave spectrum, e.g. taken from ocean wave models. For each ocean wave system a stochastic model is set up, which defines the probability that the propagation direction, the wavelength or the energy of the different wave systems deviate from the prior knowledge. The prescribed probabilities thereby quantify the confidence into the prior wave spectrum. Based on the probability models for the prior wave spectrum and the measured cross spectrum an optimal ocean wave spectrum is estimated using a maximum a posteriori approach. To solve the corresponding minimization problem the prior model is approximated with a multivariate Gaussian model. The optimization problem is solved with a Gauss-Newton method. The scheme is tested using both simulated cross spectra and reprocessed wave mode data acquired by the ERS-2 SAR. The reprocessed data are similar to the products, which will be available from the ENVISAT satellite launched in March 2002.","","POD:0-7803-7536-X","10.1109/IGARSS.2002.1026477","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1026477","","Data mining;Information retrieval;Ocean waves;Partitioning algorithms;Sea measurements;Spaceborne radar;Spectral shape;Stochastic systems;Synthetic aperture radar;Wavelength measurement","ocean waves;oceanographic techniques;remote sensing by radar;spaceborne radar;synthetic aperture radar","2D ocean wave spectra retrieval;ENVISAT;ERS-2 SAR;Gauss-Newton method;PARSA;Partition Rescaling and Shift Algorithm;complex SAR data;look cross spectra;multivariate Gaussian model;parametric inversion scheme;prior information;reprocessed wave mode data;spaceborne synthetic aperture radar;wave height;wave propagation direction;wavelength","","7","","9","","","24-28 June 2002","","IEEE","IEEE Conference Publications"
