"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5273836,5273891,5277150,5273881,5273915,5276476,5273995,5277514,5277791,5277531,5277758,5277505,5277475,5276471,5278211,5277625,5278384,5277273,5276729,5275119,5273975,5276556,5277293,5277684,5277136,5277205,5276630,5274983,5274011,5273964,5277056,5277389,5276716,5273906,5276722,5277201,5276756,5267755,5268103,5270475,5271939,5272384,5267797,5271935,5272137,5271946,5272109,5271943,5267927,5272090,5271786,5271947,5271953,5272131,5067335,5261978,5260718,5260677,5260893,5260775,5262230,5260702,5261834,5267211,5260706,5261896,5260972,5262474,5260597,5260960,5260897,5255451,5255450,5255116,5255100,5255333,5254360,5255069,5254476,5254799,5255043,5254702,5255397,5254797,5255269,5255276,5256714,5254454,5254718,5255439,5254475,5254276,5255392,5255016,5254878,5255349,5256716,5254865,5255323,5255164",2017/05/04 20:58:32
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Medical Adverse Events Classification for Domain Knowledge Extraction","R. C. Chen; P. C. Tsan; I. Y. Lee; J. C. Hsu","Dept. of Inf. Manage., Choayang Univ. of Technol., Taichung, Taiwan","2009 Ninth International Conference on Hybrid Intelligent Systems","20090922","2009","1","","298","303","In the viewpoint of sharing knowledge, users need to input keywords before the agent retrievals the related information from the Internet. At the same time, the traditional method ignored the true meaning of the terms. However, the semantic Web has been created to improve the disadvantage. Ontology is the fundamental element of the semantic Web that is a kind of knowledge presentation and can present the variety of property for concept. According to the regulation of Department of Health, Executive Yuan, R.O.C, the hospital has implemented the new hospital accreditation from 2005. Furthermore, the hospital accreditation evolves the variety of items of accreditation. Medical adverse event reporting is a kind of the hospital accreditation. The system which can deal with the medical adverse event reporting is operated by human at present. None the less, the system caused some questions, such as inconsistent knowledge and human negligence. The research proposed a new framework which can replace the human automatically. We get concepts through extraction of information and analyze sentences through classification of events. After that we analyze those classes which can construct variable and dynamic ontology in medical adverse event reporting.","","POD:978-0-7695-3745-0","10.1109/HIS.2009.65","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5254360","Backpropagation;Classify;Knowledge Presentation;Medical adverse event;Ontology","Accreditation;Data mining;Hospitals;Humans;Information retrieval;Intelligent agent;Internet;Machine intelligence;Ontologies;Semantic Web","accreditation;information retrieval;medical information systems;ontologies (artificial intelligence);pattern classification;semantic Web","Internet;domain knowledge extraction;hospital accreditation;information retrieval;knowledge presentation;knowledge sharing;medical adverse event reporting;medical adverse events classification;ontology;semantic Web","","0","","28","","","12-14 Aug. 2009","","IEEE","IEEE Conference Publications"
"An approach to XML Path retrieval","L. Song; S. Li; W. Cui; D. Zhang; X. Niu","School of Computer Science &Technology, Shandong Jianzhu University, 250101, USA","2009 IEEE International Conference on Granular Computing","20090922","2009","","","513","516","Both of XML document and user's query are represented by the set of paths from the root node to leaf nodes. So the context and content information contained in the corresponding path is a vital important clue to research XML retrieval. This paper presents an approach, NPathSim, for measuring similarity between two paths. XML Path retrieval was performed to evaluate the performance of NPathSim. The experiments show that our path retrieval method can achieve better performance than other methods.","","POD:978-1-4244-4830-2","10.1109/GRC.2009.5255069","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5255069","","Computer science;Content addressable storage;Content based retrieval;Context-aware services;Data models;Dynamic programming;Information retrieval;Performance evaluation;Software libraries;XML","XML;information retrieval;query processing","NPathSim;XML document;XML path retrieval;user query","","0","","18","","","17-19 Aug. 2009","","IEEE","IEEE Conference Publications"
"Image Classification to Improve Printing Quality of Mixed-Type Documents","R. D. Lins; G. P. e. Silva; S. J. Simske; J. Fan; M. Shaw; P. Sá; M. Thielo","UFPE, Recife, Brazil","2009 10th International Conference on Document Analysis and Recognition","20091002","2009","","","1106","1110","Functional image classification is the assignment of different image types to separate classes to optimize their rendering for reading or other specific end task, and is an important area of research in the publishing and multi-average industries. This paper presents recent research on optimizing the simultaneous classification of documents, photos and logos. Each of these is handled during printing with a class-specific pipeline of image transformation algorithms, and misclassification results in pejorative imaging effects. This paper reports on replacing an existing classifier with a Weka-based classifier that simultaneously improves accuracy (from 85.3% to 90.8%) and performance (from 1458 msec to 418 msec/image). Generic subsampling of the images further improved the performance (to 199 msec/image) with only a modest impact on accuracy (to 90.4%). A staggered subsampling approach, finally, improved both accuracy (to 96.4%) and performance (to 147 msec/image) for the Weka-base classifier. This approach did not appreciable benefit the HP classifier (85.4% accuracy, 497 msec/image). These data indicate staggered subsampling using the optimized Weka classifier substantially improves the classification accuracy and performance without resulting in additional ldquoegregiousrdquo misclassifications (assigning photos or logos to the ldquodocumentrdquo class).","1520-5363;15205363","POD:978-1-4244-4500-4","10.1109/ICDAR.2009.167","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5277475","","Image analysis;Image classification;Image databases;Image retrieval;Information retrieval;Pipelines;Printing;Rendering (computer graphics);Spatial databases;Text analysis","document image processing;image classification;image sampling;rendering (computer graphics)","Weka-based classifier;class-specific pipeline;image classification;image sampling;image transformation algorithm;mixed-type document;pejorative imaging effect;printing quality;task rendering","","2","","12","","","26-29 July 2009","","IEEE","IEEE Conference Publications"
"CODES: A computerised approach to the analysis and management of 1D SDS PAGE gel protein image information","G. Ramaswamy; B. Wu; U. MacEvilly","School of Computing, Dublin Institute of Technology, Kevin Street, Ireland","2009 Second International Conference on the Applications of Digital Information and Web Technologies","20091002","2009","","","551","556","A computerised approach called CODES has been developed, which provides a way for analysing and managing 1D SDS PAGE protein information in terms of digitisation, quantification, normalisation, storage, retrieval and visualisation with an application domain focused on the skin mucus of ranched Atlantic salmon (Salmo salar) smolts. This approach used a scientific grade image capture instrument AlphaImager HP, preprocessed digitised protein gel images in a standard approach, quantified protein gel images using gel image analysis software, normalised gel protein images, established a databank to store proteomics information and investigated skin mucus proteins by analysing changes in proteins during the smoltification period of Atlantic salmon. A new prototype system called NeVPAS web application, to implement the CODES approach, has been developed to support biologists in order to investigate changes in Atlantic salmon smolts skin mucus proteins and to determine the optimal time to release smolts to the sea. The application of the CODES approach and NeVPAS is not limited to Atlantic salmon but is also suitable for other species and can be extended to 2D SDS PAGE gel images.","","POD:978-1-4244-4456-4","10.1109/ICADIWT.2009.5273881","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5273881","","Application software;Image analysis;Information analysis;Information retrieval;Instruments;Protein engineering;Remuneration;Skin;Software standards;Visualization","bioinformatics;computer vision;gels;information management;information storage;proteins;proteomics;zoology","1D SDS PAGE gel protein image information;2D SDS PAGE gel images;AlphaImager HP;CODES;NeVPAS web application;gel image analysis software;new vision to protein intensity analysis system;proteomics information;quantified protein gel image;ranched Atlantic salmon smolts;scientific grade image capture instrument;skin mucus proteins;smoltification period","","3","","13","","","4-6 Aug. 2009","","IEEE","IEEE Conference Publications"
"Shape feature representation in partial object matching","K. L. Chiew; Y. C. Wang","Faculty of Information Technology, University of Malaysia Sarawak, Jalan Dato' Musa, 93400 Kota Samarahan, Malaysia","2006 International Conference on Computing & Informatics","20091002","2006","","","1","6","The main objective of this research is to develop an image matching prototype that can retrieve images based on the geometry feature representation of a complete object or a partial object. Consequently, a shape decomposition method is introduced to preserve the shape feature for the remaining portion of a partial object and to simplify the shape complexity by breaking down into segments.","2166-5710;21665710","CD-ROM:978-1-4244-0220-5; POD:978-1-4244-0219-9","10.1109/ICOCI.2006.5276471","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5276471","","Cascading style sheets;Image matching;Image retrieval;Image segmentation;Information geometry;Information retrieval;Information technology;Pixel;Prototypes;Shape","feature extraction;image matching;image representation;image retrieval;image segmentation;shape recognition","geometry shape feature representation;image matching;image retrieval;image segmentation;partial object matching;shape decomposition method","","0","","11","","","6-8 June 2006","","IEEE","IEEE Conference Publications"
"Integrating standards in data QA/QC into OpenGeospatial Consortium sensor observation services","J. J. Fredericks; M. Botts; T. Cook; J. Bosch","Woods Hole Oceanographic Institution, MA 02543 USA","OCEANS 2009-EUROPE","20091002","2009","","","1","6","As systems developers build the tools and methods for transport and discovery of marine data, we must carefully consider what information must accompany these data and how it is transported in order to enable adequate assessment and understanding in a machine-to-machine global exchange. Providing a common framework to communicate the history of a sensor, data processing and processing results can create a shared understanding which will build a solid foundation for the development of a trusted system of systems for sharing global environmental data. In this paper, we will present an oceanographic wave height offering, using the Open Geospatial Consortium, Inc (OGC) Sensor Web Enablement (SWE) framework, which documents not only the sensor characteristics, but also the processing steps and an assessment of the data quality based on recommended quality control tests.","","POD:978-1-4244-2522-8","10.1109/OCEANSE.2009.5278211","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5278211","","Data processing;Image sensors;Information retrieval;Quality control;Sea measurements;Sensor phenomena and characterization;Sensor systems;Space technology;Standards development;Testing","data analysis;ocean waves","Open Geospatial Consortium, Inc;Sensor Web Enablement;data quality assessment;machine-to-machine global exchange;marine data processing;oceanographic wave height;quality control tests;sensor characteristics","","2","","3","","","11-14 May 2009","","IEEE","IEEE Conference Publications"
"Modeling, Classifying and Annotating Weakly Annotated Images Using Bayesian Network","S. Barrat; S. Tabbone","LORIA, Univ. of Nancy 2, Vandoeuvre-les-Nancy, France","2009 10th International Conference on Document Analysis and Recognition","20091002","2009","","","1201","1205","We propose a probabilistic graphical model to represent weakly annotated images. This model is used to classify images and automatically extend existing annotations to new images by taking into account semantic relations between keywords. The proposed method has been evaluated in classification and automatic annotation of images. The experimental results, obtained from a database of more than 30000 images, by combining visual and textual information, show an improvement by 50.5% in terms of recognition rate against only visual information classification. Taking into account semantic relations between keywords improves the recognition rate by 10.5% and the mean rate of good annotations by 6.9%. The proposed method is experimentally competitive with the state-of-art classifiers.","1520-5363;15205363","POD:978-1-4244-4500-4","10.1109/ICDAR.2009.170","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5277625","","Bayesian methods;Graphical models;Image classification;Image databases;Image recognition;Image retrieval;Information retrieval;Probability distribution;Shape measurement;Visual databases","graph theory;image classification","Bayesian network;annotated image classifyication;annotated image modeling;image annotation;probabilistic graphical model","","0","","8","","","26-29 July 2009","","IEEE","IEEE Conference Publications"
"img(Anaktisi): A Web Content Based Image Retrieval System","K. Zagoris; S. A. Chatzichristo?s; N. Papamarkos; Y. S. Boutalis","Dept. of Electr. & Comput. Eng., Democritus Univ. of Thrace, Xanthi, Greece","2009 Second International Workshop on Similarity Search and Applications","20090929","2009","","","154","155","img(Anaktisi) is a C#/.NET content base image retrieval application suitable for the Web. It provides efficient retrieval services for various image databases using as a query a sample image, an image sketched by the user and keywords. The image retrieval engine is powered by innovative compact and effective descriptors. Also, an auto relevance feedback (ARF) technique is provided to the user. This technique readjusts the initial retrieval results based on user preferences improving the retrieval score significantly. img(Anaktisi) can be found at http://www.anaktisi.net.","","POD:978-0-7695-3765-8","10.1109/SISAP.2009.15","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5271935","","Application software;Content based retrieval;Feedback;Image databases;Image retrieval;Information retrieval;Paints;Shape;Spatial databases;Visual databases","Web sites;content-based retrieval;image retrieval;image sampling;relevance feedback;visual databases","ARF technique;C#/.NET application;auto relevance feedback;content base image retrieval application;image database;image retrieval engine;image sample;img(Anaktisi) application;query information","","9","","6","","","29-30 Aug. 2009","","IEEE","IEEE Conference Publications"
"A model for efficiency of web information discovery tools","V. Hakkoymaz; B. Tilki","Fatih Univ., Computer Engineering Dept., Istanbul, Turkey","2009 First International Conference on Networked Digital Technologies","20090929","2009","","","558","560","Volumes and types of electronically available data have increased dramatically in recent years as a result of the fact that the Internet has become primary means of communication and collaboration. In response to user's queries, information discovery tools produce a list of resources which, sometimes, includes unnecessary documents, and occasionally filters out important ones for querying users. Since current search engines either lack or do not provide efficient access to these sources, new search paradigms are sought for effective access and ranking of query outputs. It becomes more vital to devise a search model to efficiently locate resources of interest. Based on the characteristics of the users and information resources, we describe design of a model for supporting efficient processing of queries for the resources in the Web.","2155-8728;21558728","POD:978-1-4244-4614-8","10.1109/NDT.2009.5272137","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5272137","","Collaborative tools;Data engineering;Data mining;Information filtering;Information filters;Information resources;Information retrieval;Internet;Search engines;Terminology","Internet;data mining;information filtering;information filters;query processing;search engines","Internet;Web information discovery tool;information filter;information filtering;query processing;search engine","","0","","9","","","28-31 July 2009","","IEEE","IEEE Conference Publications"
"Performance Evaluation of Subject Navigation System in Chinese Academic Libraries","L. Si; L. Du; B. Chen; J. Hou","Sch. of Inf. Manage., Wuhan Univ., Wuhan, China","2009 International Conference on New Trends in Information and Service Science","20090925","2009","","","400","404","The performance evaluation of subject navigation system refers to the evaluation of the subject navigation system, mainly using some indicators and measurement standards in respects of resource selection, resource organization and retrieval, librarian, service process, service system and user feedback, etc. This paper analyses the concept of performance evaluation and the importance of performance evaluation of subject navigation system, and proposes a series of evaluation indicators and evaluation methods.","","POD:978-0-7695-3687-3","10.1109/NISS.2009.35","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5260775","Chinese academic libraries;performance evaluation;subject navigation system","Feedback;Information management;Information resources;Information retrieval;Measurement standards;Navigation;Quality of service;Sampling methods;Software libraries;Statistics","academic libraries","Chinese academic libraries;evaluation indicators;evaluation methods;performance evaluation;subject navigation system","","0","","5","","","June 30 2009-July 2 2009","","IEEE","IEEE Conference Publications"
