"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1185931,1186267,1186195,1185859,1185975,1187309,1186301,1186095,1187134,1186341,1186066,1187364,1183910,1184036,1183930,1184048,1183922,1184236,1184034,1185211,1183915,1183881,1184044,1184000,1183895,1184024,1183995,1184043,1181101,1179945,1179972,1183020,1181345,1181223,1183378,1181343,1180996,1181293,1182888,1182301,1182100,1183095,1180021,1181211,1181161,1181100,1181995,1179950,1182203,1183043,1181775,1183446,1183439,1179992,1181130,1181305,1183042,1180930,1183630,1181230,1183515,1180796,1181651,1181667,1180823,1181457,1181593,1181655,1181642,1181645,1180638,1180863,1180846,1181611,1181657,1181660,1181618,1180848,1181661,1180875,1180876,1175360,1174529,1174538,1174521,1179375,1176772,1176813,1175387,1175407,1174480,1176780,1176886,1177870,1174400,1137343,1176949,1177867,1175336,1174560",2017/05/04 21:58:10
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A stochastic approach for modeling and computing Web communities","G. Greco; S. Greco; E. Zumpano","DEIS, Univ. della Calabria, Italy","Proceedings of the Third International Conference on Web Information Systems Engineering, 2002. WISE 2002.","20030225","2002","","","43","52","In the last few years, a lot of research has been devoted to developing new techniques for improving the recall and precision of current Web search engines. Few works deal with the interesting problem of identifying the communities to which pages belong. Most previous approaches tried to cluster data by means of spectral techniques or traditional hierarchical algorithms. The main problem with these techniques is that they ignore the fact that Web communities are social networks with distinctive statistical properties. We analyze Web communities on the basis of the evolution of an initial set of hubs and authoritative pages. The evolution law captures the behaviour of page authors with respect to the popularity of existing pages for topics of interest. Assuming such a model, we have found interesting properties of Web communities and have proposed a technique for computing relevant properties for specific topics. Several experiments have confirmed the validity of both the model and the identification method.","","POD:0-7695-1766-8","10.1109/WISE.2002.1181642","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181642","","Bibliometrics;Clustering algorithms;Information retrieval;Organizing;Portals;Search engines;Social network services;Stochastic processes;Web pages;Web search","Internet;information needs;information resources;information retrieval;stochastic processes","Web community computing;Web community modeling;Web search engines;authoritative pages;hubs;identification method;page authors;precision;recall;social networks;statistical properties;stochastic approach","","1","","29","","","12-14 Dec. 2002","","IEEE","IEEE Conference Publications"
"A kind of method for mining classification rules based on fuzzy sets","Yao Min; Wang Weihong; Zhao Xiaoming","Dept. of Comput., Zhejiang Univ., Hangzhou, China","6th International Conference on Signal Processing, 2002.","20030228","2002","2","","1263","1266 vol.2","Fuzziness is one of the general characteristics of human thinking and objective things. This paper presents a kind of methods for mining classification rules based on fuzzy sets. This method first obtain thematic data set using fuzzy retrieval techniques, then sums up abstractly by means of fuzzy clustering, and thus the gains necessary classification rules.","","POD:0-7803-7488-6","10.1109/ICOSP.2002.1180021","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1180021","","Data mining;Data warehouses;Decision making;Delta modulation;Fuzzy sets;Fuzzy systems;Humans;Information retrieval;Laboratories;Transaction databases","data mining;deductive databases;fuzzy set theory;query processing;signal classification","KDD;data mining;fuzzy clustering;fuzzy retrieval techniques;fuzzy sets;human thinking;knowledge acquisition;knowledge discovering from database;mining classification rules;similarity measurement;thematic data set","","0","","6","","","26-30 Aug. 2002","","IEEE","IEEE Conference Publications"
"An algorithm for text categorization with SVM","Hu Jun; Huang Houkuan","Sch. of Comput. & Inf. Technol., Northern Jiaotong Univ., Beijing, China","TENCON '02. Proceedings. 2002 IEEE Region 10 Conference on Computers, Communications, Control and Power Engineering","20030228","2002","1","","47","50 vol.1","The paper summarily introduces some aspects about data mining, text categorization and support vector machines and shows general process of text machine learning. It suggests a method of transforming text categorization problem to a series of binary classification problems and presents an algorithm for text categorization with SVM.","","POD:0-7803-7490-8","10.1109/TENCON.2002.1181211","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181211","","Data mining;Feature extraction;Information retrieval;Machine learning;Machine learning algorithms;Signal processing algorithms;Support vector machine classification;Support vector machines;Testing;Text categorization","data mining;learning (artificial intelligence);support vector machines","binary classification problems;data mining;support vector machines;text categorization","","0","","7","","","28-31 Oct. 2002","","IEEE","IEEE Conference Publications"
"A distributed environment for effective Internet search using intelligent personal agent and distributed knowledge base","Chun Che Fung; P. Wongthongtham","Sch. of Electr. & Comput. Eng., Curtin Univ. of Technol., Perth, WA, Australia","TENCON '02. Proceedings. 2002 IEEE Region 10 Conference on Computers, Communications, Control and Power Engineering","20030228","2002","1","","379","382 vol.1","With the rapid increase in the available information over the Internet, it is important to develop an efficient search and retrieval mechanism. In particular, the use of distributed search will be beneficial to many users. This paper presents two proposals to implement such an approach. The first one is based on an intelligent personal agent to assist in finding pages relevant to the behavior and characteristics of the user. Secondly, a distributed knowledge base situated across the network will lighten the query-processing loads. Distributed knowledge bases on separate issues located at different servers can be treated as integrated domain knowledge. The integrated knowledge is then used in an inference process at the main server. In this paper, the technical issues on the above model are addressed.","","POD:0-7803-7490-8","10.1109/TENCON.2002.1181293","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181293","","Distributed computing;Information retrieval;Intelligent agent;Internet;Knowledge engineering;Mathematics;Network servers;Query processing;World Wide Web;XML","Internet;distributed databases;mobile agents;query processing","distributed knowledge base;distributed search;effective Internet search;inference process;integrated domain knowledge;intelligent personal agent;query-processing loads;retrieval mechanism","","0","","9","","","28-31 Oct. 2002","","IEEE","IEEE Conference Publications"
"A new implementation technique for fast spectral based document retrieval systems","L. A. F. Park; M. Palaniswami; K. Ramamohanarao","ARC Special Res. Centre for Ultra-Broadband Inf. Networks, Univ. of Melbourne, Vic., Australia","2002 IEEE International Conference on Data Mining, 2002. Proceedings.","20030310","2002","","","346","353","The traditional methods of spectral text retrieval (FDS,CDS) create an index of spatial data and convert the data to its spectral form at query time. We present a new method of implementing and querying an index containing spectral data which will conserve the high precision performance of the spectral methods, reduce the time needed to resolve the query, and maintain an acceptable size for the index. This is done by taking advantage of the properties of the discrete cosine transform and by applying ideas from vector space document ranking methods.","","POD:0-7695-1754-4","10.1109/ICDM.2002.1183922","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1183922","","Data engineering;Data mining;Discrete cosine transforms;Gold;Information retrieval;Navigation;Search engines;Spatial resolution;Text mining;Web sites","discrete cosine transforms;information retrieval;visual databases","discrete cosine transform;query time;spatial data;spectral based document retrieval systems;spectral text retrieval;vector space document ranking methods","","0","","13","","","2002","","IEEE","IEEE Conference Publications"
"Combined colour and contour representation using anti-aliased histograms","J. Faichney; R. Gonzalez","Sch. of Inf. Technol., Griffith Univ., Qld., Australia","6th International Conference on Signal Processing, 2002.","20030228","2002","1","","735","739 vol.1","Image databases require accurate colour image retrieval, minimal storage requirements, and fast query execution. Histograms have been used to compactly represent colour distributions providing low storage requirements and fast query execution. We propose the novel idea to also use histograms to represent contour distributions. Our contour distribution approach is shown to perform as well as an exhaustive contour comparison approach. In addition, anti-aliased histograms also known as fuzzy histograms are applied to reduce the storage requirements and query times by a factor of four. Colour and contour similarities are combined to provide more accurate query results than either individual technique.","","POD:0-7803-7488-6","10.1109/ICOSP.2002.1181161","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181161","","Australia;Feature extraction;Gold;Histograms;Image databases;Image retrieval;Image storage;Information retrieval;Information technology;Postal services","content-based retrieval;fuzzy set theory;image colour analysis;image representation;image retrieval;probability;storage management;visual databases","anti-aliased histograms;colour distribution representation;colour image retrieval;colour similarities;contour representation;contour similarities;fast query execution;fuzzy histograms;image databases;storage requirements","","0","","13","","","26-30 Aug. 2002","","IEEE","IEEE Conference Publications"
"Language identification using vector quantization","Qu Dan; Wang Bingxi; Wei Xin","Dept. of Inf. Sci. of Inf. Eng., Zhengzhou Univ., Henan, China","6th International Conference on Signal Processing, 2002.","20030228","2002","1","","492","495 vol.1","When compared with speech technologies in speech processing, automatic language identification is a relatively new yet difficult problem. In this paper, two language identification algorithms are provided and some experiments are conducted using OGI-TS telephone speech corpus. Then experiments results are described. It is shown that the optimal recognition rates for the two algorithms are 65.38% and 73.08%, respectively.","","POD:0-7803-7488-6","10.1109/ICOSP.2002.1181100","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181100","","Banking;Emergency services;Information retrieval;Information science;Natural languages;Speech enhancement;Speech processing;Speech recognition;Telephony;Vector quantization","speech recognition;vector quantisation","OGI-TS telephone speech corpus;language identification;optimal recognition rates;vector quantization","","1","","7","","","26-30 Aug. 2002","","IEEE","IEEE Conference Publications"
"Global information from local observation","I. Benjamini; L. Lovasz","Microsoft Res., Redmond, WA, USA","The 43rd Annual IEEE Symposium on Foundations of Computer Science, 2002. Proceedings.","20030228","2002","","","701","710","We observe a certain random process on a graph ""locally"", i.e., in the neighborhood of a node, and would like to derive information about ""global"" properties of the graph. For example, what can we know about a graph based on observing the returns of a random walk to a given node? Our main result concerns a graph embedded in an orientable surface with genus g, and a process, consisting of random excitations of edges and random balancing around nodes and faces. It is shown how to obtain the genus of the surface in polynomial time from local observations of the process restricted to a connected subgraph whose size is (essentially) O(g<sup>2</sup>).","0272-5428;02725428","POD:0-7695-1822-2","10.1109/SFCS.2002.1181995","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181995","","Algorithm design and analysis;Birds;Computer science;Distributed algorithms;Information retrieval;Physics computing;Polynomials;Random processes;Sampling methods","computational complexity;graph theory;random processes","connected subgraph;faces;genus;global information;graph;local observation;nodes;orientable surface;polynomial time;random balancing;random edge excitation;random process;random walk returns","","1","","14","","","2002","","IEEE","IEEE Conference Publications"
"Topic extraction from news archive using TF*PDF algorithm","Khoo Khyou Bun; M. Ishizuka","Dept. of Inf. & Commun. Eng., Univ. of Tokyo, Japan","Proceedings of the Third International Conference on Web Information Systems Engineering, 2002. WISE 2002.","20030225","2002","","","73","82","Since the Web became widespread, the amount of electronically available information online, especially news archives, has proliferated and threatens to become overwhelming. We propose an information system that will extract main topics in a news archive on a weekly basis. By obtaining a weekly report, a user can know what the main news events were in the past week.","","POD:0-7695-1766-8","10.1109/WISE.2002.1181645","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1181645","","Algorithm design and analysis;Broadcasting;Content based retrieval;Data mining;Event detection;Frequency;Humans;Information retrieval;Information systems;Intelligent systems","information resources;information retrieval systems","TF*PDF algorithm;Web;information system;news archive;topic extraction;weekly report","","12","","16","","","12-14 Dec. 2002","","IEEE","IEEE Conference Publications"
"An agent-based intelligent system for information gathering from World Wide Web environment","Chun-Sheng Li; Cheng-Qi Zhang; Zi-Li Zhang","Fac. of Inf. Technol., Univ. of Technol., Sydney, NSW, Australia","Proceedings. International Conference on Machine Learning and Cybernetics","20030219","2002","4","","1852","1857 vol.4","To use the vast amount of information efficiently and effectively from Web sites is very important for making informed decisions. There are, however, still many problems that need to be overcome in the information gathering research arena to enable the delivery of relevant information required by users. In this paper, an information gathering system is develop by means of multiple agents to solve those problems. We employed some ideas of Gaia's methodology and an open agent architecture to analyze and design the system. The system consists of a query preprocessing agent, information retrieval agent, information filtering agent, and information management agent. The filtering agent is trained with categorized documents and can provide users with the necessary information. The experimental results show that all agents in the system can work cooperatively to retrieve relevant information from the World Wide Web environment.","","POD:0-7803-7508-4","10.1109/ICMLC.2002.1175360","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1175360","","Australia;Computer architecture;Information filtering;Information filters;Information retrieval;Intelligent agent;Intelligent systems;Software agents;Web sites;World Wide Web","information filters;information resources;information retrieval;learning (artificial intelligence);multi-agent systems;search engines","Gaia methodology;WWW;World Wide Web;categorized training;information filtering;information retrieval;multiagent systems;open agent architecture;software agent","","0","","9","","","4-5 Nov. 2002","","IEEE","IEEE Conference Publications"
