"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7860867,7860947,7860866,7838105,7838107,7838109,7838106,7838300,7838108,7835787,7835786,7835788,7835816,7738804,7738803,7738808,7424249,7424252,7424251,7424250,7424248,7424497,7340887,7340882,7340676,7340595,7340599,7340883,7340965,7340594,7340598,7340886,7324167,7324172,7324168,7033079,7033189,7033077,7033188,7033078,7033075,7033076,7009645,7009648,7009081,7009080,7009078,7009077,7009156,7009644,7009728,7009647,6958840,6958844,6958839,6890741,6890740,6890432,6890833,6890737,6890832,6890345,6890428,6890910,6890736,6890815,6890433,6890515,6890344,6890426,6890429,6890836,6890340,6890837,6890341,6784571,6786068,6786174,6786071,6784574,6786070,6784573,6784660,6786069,6786175,6784572,6784570,6661894,6661889,6661890,6406661,6406803,6406659,6406806,6406810,6406813,6406662,6406655,6406652,6406805",2017/05/05 21:32:32
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Contents","","","2013 International Conference on Machine Learning and Cybernetics","20140908","2013","03","","1","4","Presents the table of contents/splash page of the proceedings record.","2160-133X;2160133X","Electronic:978-1-4799-0260-6; POD:978-1-4799-0259-0","10.1109/ICMLC.2013.6890741","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890741","","","","","","0","","","","","14-17 July 2013","","IEEE","IEEE Conference Publications"
"Contents","","","2014 International Conference on Machine Learning and Cybernetics","20150115","2014","1","","1","4","Presents the table of contents/splash page of the proceedings record.","2160-133X;2160133X","CD-ROM:978-1-4799-4217-6; Electronic:978-1-4799-4215-2; POD:978-1-4799-4214-5","10.1109/ICMLC.2014.7009081","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7009081","","","","","","0","","","","","13-16 July 2014","","IEEE","IEEE Conference Publications"
"Author Index  - Volume 2","","","2012 11th International Conference on Machine Learning and Applications","20130110","2012","2","","596","598","Presents an index of the authors whose papers are published in the conference.","","Electronic:978-0-7695-4913-2; POD:978-1-4673-4651-1","10.1109/ICMLA.2012.247","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6406803","","","","","","0","","","","","12-15 Dec. 2012","","IEEE","IEEE Conference Publications"
"List of reviewers","","","2013 International Conference on Machine Learning and Cybernetics","20140908","2013","03","","VIII","X","The conference offers a note of thanks and lists its reviewers.","2160-133X;2160133X","Electronic:978-1-4799-0260-6; POD:978-1-4799-0259-0","10.1109/ICMLC.2013.6890740","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890740","","","","","","0","","","","","14-17 July 2013","","IEEE","IEEE Conference Publications"
"List of reviewers","","","2014 International Conference on Machine Learning and Cybernetics","20150115","2014","1","","VI","VI","The conference offers a note of thanks and lists its reviewers.","2160-133X;2160133X","CD-ROM:978-1-4799-4217-6; Electronic:978-1-4799-4215-2; POD:978-1-4799-4214-5","10.1109/ICMLC.2014.7009080","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7009080","","","","","","0","","","","","13-16 July 2014","","IEEE","IEEE Conference Publications"
"[Title page i - Volume 2]","","","2013 12th International Conference on Machine Learning and Applications","20140410","2013","2","","i","i","Presents the title page of the proceedings record.","","CD-ROM:978-1-4799-4154-4; Electronic:978-0-7695-5144-9; POD:978-1-4799-4155-1","10.1109/ICMLA.2013.92","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6786068","","","","","","0","","","","","4-7 Dec. 2013","","IEEE","IEEE Conference Publications"
"List of reviewers","","","2013 International Conference on Machine Learning and Cybernetics","20140908","2013","01","","VIII","X","The conference offers a note of thanks and lists its reviewers.","2160-133X;2160133X","Electronic:978-1-4799-0260-6; POD:978-1-4799-0259-0","10.1109/ICMLC.2013.6890432","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6890432","","","","","","0","","","","","14-17 July 2013","","IEEE","IEEE Conference Publications"
"Table of contents","","","2015 IEEE 14th International Conference on Machine Learning and Applications (ICMLA)","20160303","2015","","","v","xxii","Presents the table of contents/splash page of the proceedings record.","","Electronic:978-1-5090-0287-0; POD:978-1-5090-0288-7","10.1109/ICMLA.2015.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424252","","","","","","","","","","","9-11 Dec. 2015","","IEEE","IEEE Conference Publications"
"[Title page]","","","2015 IEEE 25th International Workshop on Machine Learning for Signal Processing (MLSP)","20151112","2015","","","1","1","Presents the title page of the proceedings record.","1551-2541;15512541","Electronic:978-1-4673-7454-5; POD:978-1-4673-7455-2","10.1109/MLSP.2015.7324167","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7324167","","","","","","","","","","","17-20 Sept. 2015","","IEEE","IEEE Conference Publications"
"[Front cover]","","","2015 International Conference on Machine Learning and Cybernetics (ICMLC)","20151203","2015","1","","1","1","Presents the front cover or splash screen of the proceedings record.","","CD-ROM:978-1-4673-7220-6; Electronic:978-1-4673-7221-3; POD:978-1-4673-7222-0","10.1109/ICMLC.2015.7340882","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7340882","","","","","","","","","","","12-15 July 2015","","IEEE","IEEE Conference Publications"
